Variable,Platinum_Level,Gold_Level,Silver_Level,Bronze_Level,Catastrophic_Level
ACF_01,2.678,2.618,2.553,2.495,2.493
ED_1,11.551,10.11,9.201,8.28,8.111
ED_2,5.271,4.545,4.055,3.588,3.505
ED_3,3.355,2.883,2.542,2.223,2.168
ED_4,2.108,1.785,1.538,1.312,1.272
ED_5,1.583,1.343,1.152,0.975,0.942
ED_6,1.014,0.837,0.689,0.548,0.521
FAGE_LAST_21_24,0.285,0.199,0.131,0.083,0.073
FAGE_LAST_25_29,0.312,0.218,0.144,0.09,0.078
FAGE_LAST_30_34,0.377,0.278,0.199,0.139,0.126
FAGE_LAST_35_39,0.428,0.326,0.245,0.181,0.169
FAGE_LAST_40_44,0.478,0.372,0.287,0.217,0.203
FAGE_LAST_45_49,0.483,0.375,0.287,0.213,0.199
FAGE_LAST_50_54,0.508,0.397,0.305,0.228,0.212
FAGE_LAST_55_59,0.469,0.359,0.267,0.192,0.176
FAGE_LAST_60_GT,0.459,0.347,0.253,0.177,0.161
G01,0.224,0.182,0.141,0.101,0.093
G02B,21.504,21.326,21.298,21.232,21.231
G04,1.743,1.623,1.56,1.46,1.446
G06A,10.804,10.68,10.652,10.586,10.578
G07A,1.693,1.605,1.548,1.476,1.465
G08,4.305,4.215,4.189,4.135,4.128
G09A,1.503,1.376,1.284,1.151,1.126
G09C,0.863,0.751,0.678,0.575,0.558
G10,9.269,9.111,9.058,8.961,8.951
G11,6.184,6.041,5.985,5.886,5.874
G12,1.328,1.239,1.173,1.079,1.062
G13,8.172,7.957,7.913,7.823,7.821
G14,15.142,15.048,15.018,14.981,14.985
G15A,0.62,0.546,0.472,0.381,0.363
G16,0.723,0.649,0.643,0.605,0.594
G17A,0.605,0.53,0.412,0.252,0.21
G18A,3.611,3.337,3.146,2.824,2.782
G21,2.031,1.943,1.886,1.81,1.798
G24,6.005,6.004,6.016,6.019,6.011
HHS_HCC001,0.324,0.249,0.214,0.184,0.182
HHS_HCC002,8.769,8.567,8.52,8.428,8.425
HHS_HCC003,7.904,7.806,7.76,7.687,7.675
HHS_HCC004,7.686,7.583,7.533,7.454,7.442
HHS_HCC006,8.506,8.456,8.403,8.327,8.309
HHS_HCC008,22.556,22.165,22.139,22.021,22.026
HHS_HCC009,12.532,12.26,12.214,12.096,12.09
HHS_HCC010,5.519,5.346,5.28,5.167,5.154
HHS_HCC011,3.718,3.537,3.464,3.342,3.327
HHS_HCC012,2.399,2.267,2.201,2.101,2.087
HHS_HCC013,0.972,0.882,0.795,0.69,0.671
HHS_HCC018,6.001,6,6.012,6.016,6.008
HHS_HCC019,0.224,0.182,0.141,0.101,0.093
HHS_HCC020,0.224,0.182,0.141,0.101,0.093
HHS_HCC021,0.224,0.182,0.141,0.101,0.093
HHS_HCC022,0.224,0.2,0.163,0.098,0.083
HHS_HCC023,10.678,10.559,10.519,10.449,10.441
HHS_HCC026,21.504,21.326,21.298,21.232,21.231
HHS_HCC027,21.504,21.326,21.298,21.232,21.231
HHS_HCC029,6.053,5.953,5.914,5.848,5.839
HHS_HCC030,1.277,1.204,1.153,1.08,1.067
HHS_HCC034,5.771,5.833,5.891,5.973,5.986
HHS_HCC035_1a,7.001,6.815,6.775,6.699,6.7
HHS_HCC035_2,2.215,2.052,2.012,1.928,1.922
HHS_HCC036,0.668,0.588,0.546,0.478,0.467
HHS_HCC037_1,0.54,0.48,0.432,0.378,0.371
HHS_HCC037_2,0.54,0.48,0.432,0.378,0.371
HHS_HCC041,5.771,5.833,5.891,5.973,5.986
HHS_HCC042,10.677,10.534,10.53,10.49,10.492
HHS_HCC045,4.906,4.701,4.639,4.517,4.506
HHS_HCC046,2.255,2.087,2.037,1.945,1.939
HHS_HCC047,2.255,2.087,2.032,1.922,1.913
HHS_HCC048,1.988,1.892,1.814,1.689,1.663
HHS_HCC054,7.354,7.204,7.177,7.119,7.116
HHS_HCC055,4.337,4.167,4.14,4.077,4.077
HHS_HCC056,1.22,1.126,1.067,0.987,0.974
HHS_HCC057,0.361,0.295,0.22,0.124,0.104
HHS_HCC061,1.743,1.623,1.56,1.46,1.446
HHS_HCC062,1.743,1.623,1.56,1.46,1.446
HHS_HCC063,0.716,0.616,0.552,0.467,0.454
HHS_HCC066,73.949,73.659,73.629,73.537,73.541
HHS_HCC067,10.804,10.68,10.652,10.586,10.578
HHS_HCC068,10.804,10.68,10.652,10.586,10.578
HHS_HCC069,10.804,10.68,10.652,10.586,10.578
HHS_HCC070,1.693,1.605,1.548,1.476,1.465
HHS_HCC071,1.653,1.584,1.538,1.476,1.465
HHS_HCC073,4.305,4.215,4.189,4.135,4.128
HHS_HCC074,4.305,4.215,4.189,4.135,4.128
HHS_HCC075,2.134,2.053,2.005,1.934,1.922
HHS_HCC081,1.503,1.376,1.284,1.151,1.126
HHS_HCC082,1.503,1.376,1.284,1.151,1.126
HHS_HCC083,0.863,0.751,0.678,0.575,0.558
HHS_HCC084,0.863,0.751,0.678,0.575,0.558
HHS_HCC087_1,2.22,2.055,1.974,1.849,1.834
HHS_HCC087_2,2.107,1.948,1.863,1.725,1.705
HHS_HCC088,0.929,0.834,0.75,0.64,0.619
HHS_HCC090,0.643,0.569,0.479,0.372,0.348
HHS_HCC094,1.901,1.797,1.73,1.627,1.61
HHS_HCC096,9.086,9.059,9.029,8.993,8.981
HHS_HCC097,0.819,0.758,0.713,0.655,0.644
HHS_HCC102,0.684,0.61,0.524,0.431,0.411
HHS_HCC103,0.643,0.569,0.479,0.372,0.348
HHS_HCC106,9.269,9.111,9.058,8.961,8.951
HHS_HCC107,9.269,9.111,9.058,8.961,8.951
HHS_HCC108,6.184,6.041,5.985,5.886,5.874
HHS_HCC109,6.184,6.041,5.985,5.886,5.874
HHS_HCC110,4.886,4.708,4.657,4.554,4.544
HHS_HCC111,4.966,4.824,4.756,4.643,4.627
HHS_HCC112,0.612,0.524,0.458,0.364,0.347
HHS_HCC113,0.339,0.274,0.22,0.148,0.134
HHS_HCC114,1.165,1.083,1.027,0.938,0.921
HHS_HCC115,5.056,4.973,4.956,4.917,4.915
HHS_HCC117,1.328,1.239,1.173,1.079,1.062
HHS_HCC118,2.666,2.536,2.479,2.383,2.37
HHS_HCC119,1.328,1.239,1.173,1.079,1.062
HHS_HCC120,0.94,0.85,0.787,0.696,0.681
HHS_HCC121,9.454,9.362,9.314,9.244,9.232
HHS_HCC122,9.882,9.748,9.694,9.603,9.59
HHS_HCC123,4.531,4.404,4.343,4.247,4.233
HHS_HCC125,21.608,21.401,21.36,21.273,21.271
HHS_HCC126,8.172,7.957,7.913,7.823,7.821
HHS_HCC127,8.172,7.957,7.913,7.823,7.821
HHS_HCC128,15.142,15.048,15.018,14.981,14.985
HHS_HCC129,15.142,15.048,15.018,14.981,14.985
HHS_HCC130,1.769,1.684,1.647,1.582,1.572
HHS_HCC131,4.648,4.428,4.402,4.328,4.331
HHS_HCC132,3.381,3.185,3.139,3.036,3.03
HHS_HCC135,8.377,8.292,8.237,8.153,8.137
HHS_HCC137,2.031,1.943,1.886,1.81,1.798
HHS_HCC138,2.031,1.943,1.886,1.81,1.798
HHS_HCC139,2.031,1.943,1.886,1.81,1.798
HHS_HCC142,1.828,1.726,1.66,1.556,1.536
HHS_HCC145,10.183,10.022,9.976,9.889,9.882
HHS_HCC146,1.382,1.269,1.232,1.16,1.153
HHS_HCC149,2.096,1.979,1.92,1.819,1.803
HHS_HCC150,2.952,2.831,2.813,2.765,2.766
HHS_HCC151,2.464,2.353,2.306,2.226,2.217
HHS_HCC153,7.862,7.701,7.708,7.682,7.691
HHS_HCC154,4.946,4.803,4.76,4.678,4.67
HHS_HCC156,7.348,7.269,7.2,7.095,7.071
HHS_HCC158,11.134,11.054,11.027,10.996,11
HHS_HCC159,3.817,3.697,3.645,3.565,3.555
HHS_HCC160,0.62,0.546,0.472,0.381,0.363
HHS_HCC161_1,0.62,0.546,0.472,0.381,0.363
HHS_HCC161_2,0.62,0.546,0.472,0.381,0.363
HHS_HCC162,1.544,1.465,1.411,1.329,1.314
HHS_HCC163,7.234,7.126,7.082,7.011,7.001
HHS_HCC174,1.162,1.038,0.948,0.814,0.793
HHS_HCC183,6.001,6,6.012,6.016,6.008
HHS_HCC184,19.25,18.854,18.967,18.808,18.721
HHS_HCC187,0.723,0.649,0.643,0.605,0.594
HHS_HCC188,0.723,0.649,0.643,0.605,0.594
HHS_HCC203,1.579,1.424,1.295,1.099,1.065
HHS_HCC204,0.605,0.53,0.412,0.252,0.21
HHS_HCC205,0.605,0.53,0.412,0.252,0.21
HHS_HCC207,3.611,3.337,3.146,2.824,2.782
HHS_HCC208,3.611,3.337,3.146,2.824,2.782
HHS_HCC209,2.666,2.465,2.249,1.883,1.811
HHS_HCC210,0.695,0.606,0.465,0.292,0.252
HHS_HCC211,0.464,0.395,0.27,0.138,0.107
HHS_HCC212,0.011,0,0,0,0
HHS_HCC217,1.442,1.349,1.315,1.257,1.251
HHS_HCC218,25.026,24.83,24.788,24.706,24.701
HHS_HCC219,2.495,2.374,2.316,2.23,2.22
HHS_HCC223,17.509,17.362,17.298,17.192,17.176
