Variable,Platinum_Level,Gold_Level,Silver_Level,Bronze_Level,Catastrophic_Level
AGE0_MALE,0.606,0.569,0.541,0.484,0.471
AGE1_MALE,0.074,0.06,0.044,0.025,0.021
AGE1_X_SEVERITY1,0.576,0.485,0.431,0.396,0.389
AGE1_X_SEVERITY2,1.792,1.572,1.374,1.176,1.136
AGE1_X_SEVERITY3,2.767,2.515,2.325,2.133,2.1
AGE1_X_SEVERITY4,12.321,11.828,11.591,11.279,11.24
AGE1_X_SEVERITY5,67.661,66.998,66.818,66.533,66.516
EXTREMELY_IMMATURE_X_SEVERITY1,31.009,29.686,29.283,28.69,28.647
EXTREMELY_IMMATURE_X_SEVERITY2,31.009,29.686,29.283,28.69,28.647
EXTREMELY_IMMATURE_X_SEVERITY3,31.009,29.686,29.283,28.69,28.647
EXTREMELY_IMMATURE_X_SEVERITY4,135.71,134.101,133.672,132.966,132.922
EXTREMELY_IMMATURE_X_SEVERITY5,202.124,200.721,200.443,199.93,199.923
IMMATURE_X_SEVERITY1,23.143,21.917,21.486,20.866,20.806
IMMATURE_X_SEVERITY2,26.411,25.209,24.81,24.23,24.181
IMMATURE_X_SEVERITY3,31.009,29.686,29.283,28.69,28.647
IMMATURE_X_SEVERITY4,68.163,66.651,66.32,65.727,65.699
IMMATURE_X_SEVERITY5,129.458,128.096,127.837,127.35,127.343
PREMATURE_MULTIPLES_X_SEVERITY1,5.519,4.934,4.429,3.846,3.726
PREMATURE_MULTIPLES_X_SEVERITY2,7.878,7.175,6.664,5.992,5.863
PREMATURE_MULTIPLES_X_SEVERITY3,12.969,12.062,11.572,10.902,10.797
PREMATURE_MULTIPLES_X_SEVERITY4,28.791,27.494,27.114,26.514,26.473
PREMATURE_MULTIPLES_X_SEVERITY5,110.758,109.418,109.135,108.626,108.606
TERM_X_SEVERITY1,1.955,1.593,1.156,0.813,0.752
TERM_X_SEVERITY2,3.655,3.183,2.68,2.112,1.991
TERM_X_SEVERITY3,5.467,4.914,4.413,3.825,3.702
TERM_X_SEVERITY4,16.505,15.543,15.08,14.433,14.351
TERM_X_SEVERITY5,81.499,80.353,80.008,79.461,79.415
