State,RA_Adj_Avg_Pre,Avg_pre,PLRS,ARF,AV,IDF,MM,Market,Year
GA,201.54,234.35,0.483,1.084,0.57,1,34355.4,3,2020
HI,124.73,145.03,0.207,0.945,0.57,1,5990.4,3,2020
IA,201.93,234.8,0.394,1.01,0.57,1,3944.6,3,2020
ID,197.07,229.15,0.638,0.974,0.57,1,7141.9,3,2020
IL,255.68,297.31,0.59,1.006,0.57,1,21457.8,3,2020
IN,330.46,384.26,0.843,1.001,0.57,1,34.6,3,2020
KS,221.23,257.25,0.712,1.117,0.57,1,4819.4,3,2020
KY,193,224.42,0.404,0.992,0.57,1,9497.6,3,2020
MA,225.75,262.5,0.317,1.18,0.57,1,16317,3,2020
MD,93.52,108.75,0.306,0.989,0.57,1,81306.1,3,2020
ME,174.36,202.75,0.416,1.031,0.57,1,9890.1,3,2020
MI,153.98,179.04,0.352,1,0.57,1,70466,3,2020
MN,133.66,155.42,0.273,1.016,0.57,1,56094.4,3,2020
MO,218.61,254.19,0.501,1.123,0.57,1,7593.8,3,2020
MT,221.77,257.87,0.489,0.997,0.57,1,3078.5,3,2020
NC,174.68,203.12,0.568,1.032,0.57,1,125147.6,3,2020
ND,132.34,153.88,0.552,0.998,0.57,1,23919.5,3,2020
NE,242.54,282.03,0.959,1.05,0.57,1,8512.3,3,2020
NH,142,165.12,0.33,1.027,0.57,1,13407.3,3,2020
NJ,197.76,229.95,0.308,1.018,0.57,1,39839.4,3,2020
NM,206.48,240.1,0.549,0.984,0.57,1,2569.8,3,2020
NV,196.37,228.34,0.5,0.981,0.57,1,7316.1,3,2020
NY,169.82,197.47,0.236,0.997,0.57,1,114607,3,2020
OH,168.5,195.94,0.453,1.023,0.57,1,23079.3,3,2020
OK,241.05,280.29,0.84,1.075,0.57,1,5407.8,3,2020
OR,151.2,175.81,0.204,0.946,0.57,1,11723,3,2020
PA,206.08,239.63,0.445,1.036,0.57,1,22188.7,3,2020
SC,162.46,188.91,0.632,1.066,0.57,1,29188.8,3,2020
SD,206.31,239.89,0.346,0.979,0.57,1,11055.9,3,2020
TN,230.63,268.17,0.451,1.111,0.57,1,5121.4,3,2020
TX,216.35,251.57,0.568,1.059,0.57,1,66335.6,3,2020
UT,173.88,202.19,0.682,1.146,0.57,1,12759.4,3,2020
VA,198.27,230.55,0.353,1.009,0.57,1,30590.3,3,2020
VT,230.32,267.81,0.216,0.999,0.57,1,4419.3,3,2020
WA,176.84,205.62,0.247,1.003,0.57,1,33880.3,3,2020
WI,188.09,218.7,0.347,1.023,0.57,1,19338.9,3,2020
WV,311.18,361.84,1.489,0.982,0.57,1,1023.8,3,2020
MA,427.63,497.24,1.18,1.517,0.728,1.047,9278622.8,4,2020
VT,558.27,649.15,1.211,0.982,0.74,1.057,827958.1,4,2020
AK,599.63,697.24,1.346,1.619,0.694,1.036,226778.8,1,2021
AL,621.95,723.2,2.031,1.664,0.694,1.03,2324068.3,1,2021
AR,412.32,479.45,1.815,1.486,0.695,1.029,4342416.5,1,2021
AZ,496.66,577.51,1.491,1.74,0.665,1.02,1875951.9,1,2021
CA,486.35,565.52,1.193,1.662,0.693,1.033,26011658.2,1,2021
CO,387.9,451.05,1.213,1.668,0.657,1.019,2711144.4,1,2021
CT,607.29,706.15,1.404,1.813,0.666,1.022,1354356.4,1,2021
DC,471.48,548.23,1.449,1.123,0.735,1.057,186745.4,1,2021
DE,582,676.74,1.559,1.747,0.715,1.044,343722.9,1,2021
FL,516.09,600.11,1.508,1.675,0.674,1.023,27369981.3,1,2021
GA,498.79,579.99,1.61,1.656,0.687,1.028,6515646.2,1,2021
HI,514.56,598.32,1.257,1.721,0.737,1.057,392424.5,1,2021
IA,552.09,641.97,1.479,1.87,0.696,1.036,682461.3,1,2021
ID,453.48,527.3,1.217,1.616,0.642,1.014,906942.9,1,2021
IL,531.89,618.47,1.509,1.747,0.667,1.022,4084589.5,1,2021
IN,500.65,582.15,1.651,1.797,0.665,1.02,1528834,1,2021
KS,538.41,626.06,1.778,1.702,0.688,1.03,1135230.4,1,2021
KY,521.95,606.92,1.611,1.776,0.659,1.019,901325.2,1,2021
LA,632.48,735.45,1.701,1.755,0.677,1.025,1137451.1,1,2021
MD,373.32,434.09,1.515,1.703,0.723,1.047,2583232.2,1,2021
ME,480.68,558.93,1.234,1.761,0.653,1.017,760861.4,1,2021
MI,415.66,483.32,1.391,1.74,0.654,1.017,3860193,1,2021
MN,378.15,439.71,1.226,1.79,0.664,1.023,1898949.6,1,2021
MO,550.23,639.8,1.908,1.747,0.673,1.023,2544550.8,1,2021
MS,521.64,606.56,1.774,1.653,0.693,1.029,1403539.6,1,2021
MT,490.52,570.38,1.257,1.728,0.645,1.016,630252.9,1,2021
NC,546.61,635.6,1.527,1.674,0.677,1.026,6752728.3,1,2021
ND,430.9,501.05,1.249,1.58,0.695,1.035,464001.5,1,2021
NE,621.06,722.16,1.35,1.592,0.662,1.022,1048815.6,1,2021
NH,388.17,451.36,1.312,1.794,0.672,1.024,626951.7,1,2021
NJ,498.68,579.86,1.389,1.708,0.683,1.025,4225836.5,1,2021
NM,402.62,468.16,1.311,1.856,0.694,1.034,591236.3,1,2021
NV,431.03,501.2,1.356,1.673,0.665,1.021,1286856.4,1,2021
NY,538.81,626.52,1.495,0.982,0.695,1.037,2995498.2,1,2021
OH,457.1,531.52,1.589,1.809,0.652,1.016,2578881.6,1,2021
OK,535.32,622.47,1.794,1.611,0.675,1.026,2108104.8,1,2021
OR,473.37,550.43,1.284,1.71,0.673,1.026,2060381.1,1,2021
PA,514.75,598.55,1.521,1.812,0.704,1.037,4999270.5,1,2021
RI,411.58,478.58,1.342,1.726,0.713,1.042,509104.7,1,2021
SC,497.55,578.54,1.58,1.706,0.659,1.019,3064590.4,1,2021
SD,599.28,696.84,1.45,1.615,0.655,1.017,444226.2,1,2021
TN,527.29,613.12,1.854,1.76,0.66,1.018,2624157.1,1,2021
TX,473.67,550.78,1.585,1.649,0.673,1.023,16899544.4,1,2021
UT,357.95,416.22,1.144,1.524,0.648,1.015,2674806.3,1,2021
VA,512.62,596.07,1.387,1.699,0.684,1.03,3242749.6,1,2021
WA,437.63,508.88,1.284,1.752,0.664,1.022,2856888.4,1,2021
WI,541.29,629.41,1.438,1.915,0.667,1.023,2381328.6,1,2021
WV,891.38,1036.49,1.928,1.952,0.673,1.023,226488.3,1,2021
WY,745.19,866.51,1.525,1.631,0.741,1.055,356004,1,2021
AK,721.57,839.04,1.052,1.473,0.73,1.049,160770.2,2,2021
AL,402.41,467.92,1.334,1.484,0.776,1.072,2225491.9,2,2021
AR,373.56,434.37,1.206,1.46,0.786,1.076,640458,2,2021
AZ,419.14,487.37,1.134,1.438,0.733,1.051,1678742,2,2021
CA,462.45,537.73,1.013,1.417,0.777,1.076,24486920,2,2021
CO,442.21,514.2,1.036,1.396,0.733,1.051,2805018.9,2,2021
CT,584.42,679.56,1.237,1.53,0.732,1.052,1241548.1,2,2021
DC,474.85,552.15,1.095,1.035,0.814,1.095,989556.3,2,2021
DE,546.36,635.3,1.275,1.5,0.77,1.068,275775.2,2,2021
FL,490.32,570.14,1.299,1.5,0.769,1.069,3986475.1,2,2021
GA,587.46,683.09,1.367,1.475,0.757,1.062,1142389.5,2,2021
HI,427.83,497.48,1.166,1.493,0.886,1.14,539257,2,2021
IA,411.26,478.21,1.096,1.463,0.713,1.042,1142959.9,2,2021
ID,350.01,406.98,1.002,1.387,0.738,1.052,903612.2,2,2021
IL,466.12,542,1.211,1.463,0.793,1.082,5108427.4,2,2021
IN,550.14,639.7,1.302,1.512,0.737,1.051,908775.6,2,2021
KS,416.96,484.84,1.242,1.44,0.766,1.068,957126.4,2,2021
KY,557.42,648.17,1.493,1.487,0.758,1.06,335837.3,2,2021
LA,444.29,516.62,1.174,1.456,0.772,1.07,1504154.5,2,2021
MD,428.16,497.86,1.124,1.469,0.749,1.058,3050111.5,2,2021
ME,473.75,550.87,1.061,1.522,0.704,1.037,578889.7,2,2021
MI,364.34,423.65,1.194,1.44,0.794,1.081,5097467.9,2,2021
MN,465.78,541.61,1.106,1.478,0.744,1.057,2832656.6,2,2021
MO,498.97,580.2,1.347,1.465,0.751,1.06,1014072.2,2,2021
MS,377.11,438.5,1.107,1.376,0.768,1.065,444289.2,2,2021
MT,409.16,475.77,1.007,1.432,0.722,1.047,542710.3,2,2021
NC,458.07,532.63,1.157,1.486,0.747,1.056,2327018.8,2,2021
ND,430.07,500.08,1.141,1.352,0.818,1.098,464778.3,2,2021
NE,528.04,613.99,1.143,1.441,0.722,1.045,436129.2,2,2021
NH,475.2,552.56,1.112,1.517,0.736,1.049,762140.1,2,2021
NJ,547.59,636.73,1.273,1.491,0.753,1.06,3392215.1,2,2021
NM,466.01,541.87,1.184,1.496,0.775,1.071,556823.3,2,2021
NV,399.08,464.04,1.067,1.397,0.755,1.06,1009393.3,2,2021
NY,681.26,792.16,1.529,0.976,0.765,1.07,9323103.2,2,2021
OH,633.61,736.75,1.706,1.545,0.747,1.057,623068.1,2,2021
OK,369.68,429.86,1.259,1.465,0.769,1.07,1982769.3,2,2021
OR,406.69,472.89,1.018,1.413,0.767,1.068,2209198.8,2,2021
PA,468.32,544.56,1.29,1.505,0.781,1.074,4895639.5,2,2021
RI,490.3,570.11,1.335,1.54,0.813,1.093,582299.3,2,2021
SC,555.48,645.91,1.19,1.471,0.736,1.05,679912.5,2,2021
SD,441.72,513.62,1.051,1.428,0.684,1.029,402317.6,2,2021
TN,410.78,477.66,1.22,1.484,0.734,1.052,2005687.4,2,2021
TX,496.81,577.69,1.272,1.448,0.747,1.058,7659811.4,2,2021
UT,324.53,377.36,1.022,1.42,0.743,1.054,1626414.4,2,2021
VA,474.56,551.81,1.185,1.445,0.779,1.075,3736970.4,2,2021
WA,438.41,509.78,1.101,1.473,0.766,1.067,2711955.6,2,2021
WI,480.71,558.97,1.157,1.459,0.765,1.067,1346838.3,2,2021
WV,597.55,694.83,1.36,1.507,0.753,1.06,181865.5,2,2021
WY,565.49,657.55,1.05,1.394,0.733,1.05,81649.2,2,2021
AL,238.13,276.9,0.971,1.127,0.57,1,16161.6,3,2021
AZ,196.17,228.11,0.393,0.974,0.57,1,9956.4,3,2021
CA,173.11,201.29,0.247,0.985,0.57,1,372487.6,3,2021
CO,163.88,190.56,0.354,1.001,0.57,1,57955.6,3,2021
CT,164.05,190.75,0.283,1.025,0.57,1,24770.3,3,2021
DC,115.68,134.51,0.403,0.736,0.57,1,7817,3,2021
DE,214.54,249.46,0.364,1.054,0.57,1,2532.7,3,2021
FL,206.03,239.57,0.609,1.175,0.57,1,37213,3,2021
GA,206.29,239.87,0.66,1.106,0.57,1,39710.8,3,2021
HI,127.71,148.51,0.241,0.963,0.57,1,5950.4,3,2021
IA,196.55,228.55,0.52,1.016,0.57,1,3109,3,2021
ID,198.59,230.92,0.579,0.976,0.57,1,6970.7,3,2021
IL,249.67,290.32,0.429,1.009,0.57,1,22621.3,3,2021
KS,222.03,258.18,0.938,1.129,0.57,1,4939.8,3,2021
KY,192.27,223.57,0.481,0.988,0.57,1,8365.1,3,2021
MA,249.06,289.6,0.259,1.185,0.57,1,15185.5,3,2021
MD,91.22,106.07,0.338,0.99,0.57,1,74297.9,3,2021
ME,155.91,181.29,0.329,1.027,0.57,1,12432.7,3,2021
MI,157.33,182.95,0.443,1.003,0.57,1,71196.2,3,2021
MN,134.67,156.59,0.262,1.023,0.57,1,54136.5,3,2021
MO,214.12,248.97,0.71,1.141,0.57,1,13485.8,3,2021
MT,218.97,254.62,0.244,0.997,0.57,1,3406.6,3,2021
NC,181.61,211.17,0.543,1.053,0.57,1,130159.5,3,2021
ND,129.35,150.41,0.34,0.995,0.57,1,22316,3,2021
NE,211.64,246.09,0.939,0.97,0.57,1,7000,3,2021
NH,124,144.18,0.285,1.03,0.57,1,14040.2,3,2021
NJ,201.58,234.4,0.292,1.015,0.57,1,36456.3,3,2021
NM,168.08,195.45,0.166,1.002,0.57,1,1205.3,3,2021
NV,191.91,223.15,0.524,0.979,0.57,1,8305.2,3,2021
NY,174.75,203.19,0.242,0.997,0.57,1,83831.3,3,2021
OH,162.53,188.99,0.389,1.022,0.57,1,29132.2,3,2021
OK,229.21,266.52,0.486,1.114,0.57,1,6039.1,3,2021
OR,151.99,176.73,0.207,0.949,0.57,1,9510.5,3,2021
PA,183.23,213.06,0.387,1.03,0.57,1,25918.2,3,2021
SC,167.88,195.21,0.568,1.087,0.57,1,35860.8,3,2021
SD,204.59,237.9,0.402,1.008,0.57,1,12719.6,3,2021
TN,251.82,292.82,0.427,1.121,0.57,1,4857.4,3,2021
TX,227.48,264.52,0.671,1.085,0.57,1,76114.3,3,2021
UT,170.32,198.05,0.587,1.143,0.57,1,12193.5,3,2021
VA,185.27,215.43,0.447,1.01,0.57,1,34878.7,3,2021
VT,224.2,260.7,0.392,0.999,0.57,1,3907.7,3,2021
WA,171.18,199.04,0.264,1.01,0.57,1,19033.5,3,2021
WI,177.93,206.89,0.34,1.023,0.57,1,21392.9,3,2021
WV,313.69,364.75,0.952,0.992,0.57,1,1158.9,3,2021
MA,460.04,534.93,1.219,1.526,0.728,1.046,8733940.5,4,2021
VT,571.66,664.72,1.277,0.982,0.738,1.056,797684,4,2021
AK,636.36,739.95,1.412,1.613,0.712,1.043,275368.2,1,2022
AL,661.81,769.54,1.924,1.671,0.694,1.03,2662349.8,1,2022
AR,428.85,498.66,1.75,1.488,0.694,1.028,4708393.3,1,2022
AZ,476.68,554.28,1.383,1.724,0.668,1.021,2261556.6,1,2022
CA,494.72,575.25,1.204,1.665,0.697,1.035,26300149.5,1,2022
CO,391.91,455.71,1.238,1.666,0.666,1.023,2904287.9,1,2022
CT,651.09,757.08,1.413,1.828,0.677,1.027,1360851.4,1,2022
DC,512.21,595.6,1.519,1.149,0.741,1.06,166170.6,1,2022
DE,604.39,702.78,1.519,1.731,0.731,1.051,400016.9,1,2022
FL,524.47,609.84,1.425,1.655,0.673,1.023,32795649.6,1,2022
GA,453.21,526.99,1.562,1.649,0.687,1.028,8018876.2,1,2022
HI,528.35,614.36,1.27,1.722,0.75,1.064,387499.4,1,2022
IA,574.33,667.82,1.427,1.861,0.694,1.035,829807.7,1,2022
ID,442.1,514.07,1.191,1.62,0.647,1.016,921339.5,1,2022
IL,552.03,641.9,1.471,1.75,0.67,1.023,4210205.8,1,2022
IN,485.8,564.89,1.558,1.785,0.664,1.02,1768791.7,1,2022
KS,540.08,628,1.773,1.706,0.682,1.028,1272229.4,1,2022
KY,499.31,580.6,1.694,1.81,0.658,1.019,778768.7,1,2022
LA,653.08,759.4,1.627,1.748,0.677,1.025,1291176.5,1,2022
MD,377.3,438.72,1.497,1.696,0.73,1.05,2713542.8,1,2022
ME,473.08,550.09,1.267,1.749,0.662,1.021,807864.1,1,2022
MI,437.76,509.03,1.357,1.756,0.655,1.018,4066023.2,1,2022
MN,413.5,480.81,1.267,1.798,0.667,1.024,1910477.5,1,2022
MO,541.68,629.87,1.829,1.752,0.669,1.021,2663183.7,1,2022
MS,523.93,609.23,1.812,1.648,0.693,1.029,1691516.9,1,2022
MT,492.61,572.8,1.218,1.708,0.653,1.018,694707.1,1,2022
NC,544.68,633.34,1.456,1.663,0.673,1.024,8014340.1,1,2022
ND,447.68,520.56,1.29,1.584,0.706,1.04,540870.2,1,2022
NE,610.52,709.9,1.275,1.606,0.636,1.012,1098607.4,1,2022
NH,389.17,452.52,1.325,1.788,0.678,1.026,687329.2,1,2022
NJ,534.88,621.95,1.384,1.71,0.685,1.026,4495159.6,1,2022
NM,453.47,527.29,1.392,1.862,0.743,1.055,527402.4,1,2022
NV,441.07,512.88,1.329,1.669,0.665,1.021,1358420.3,1,2022
NY,554.42,644.68,1.573,0.981,0.697,1.038,2957387.7,1,2022
OH,497.07,577.99,1.702,1.851,0.656,1.018,3111976.5,1,2022
OK,527.17,612.99,1.684,1.609,0.673,1.025,2170548.3,1,2022
OR,490.55,570.41,1.294,1.721,0.679,1.028,2051370.8,1,2022
PA,509.34,592.26,1.499,1.81,0.713,1.041,5156185.1,1,2022
RI,427.15,496.68,1.418,1.738,0.719,1.045,494215.9,1,2022
SC,497.47,578.45,1.512,1.691,0.657,1.019,3726783.9,1,2022
SD,592.58,689.05,1.406,1.613,0.662,1.02,528892.3,1,2022
TN,527.67,613.57,1.791,1.74,0.659,1.018,3193182.2,1,2022
TX,476.99,554.63,1.476,1.633,0.684,1.027,21675064.9,1,2022
UT,359.19,417.66,1.107,1.511,0.653,1.016,3179915.1,1,2022
VA,495.23,575.85,1.368,1.691,0.692,1.033,3684783.6,1,2022
VT,614.77,714.84,1.332,0.988,0.713,1.043,345090.6,1,2022
WA,462.2,537.44,1.31,1.763,0.67,1.024,2883714,1,2022
WI,538.75,626.45,1.435,1.925,0.671,1.025,2560337.4,1,2022
WV,978.13,1137.36,1.841,1.921,0.682,1.029,273196.7,1,2022
WY,731.96,851.12,1.446,1.634,0.746,1.056,429185.2,1,2022
AK,756.27,879.38,1.074,1.47,0.736,1.052,151266.6,2,2022
AL,431.14,501.33,1.31,1.524,0.776,1.072,2221465.8,2,2022
AR,379.76,441.58,1.207,1.457,0.787,1.077,688439,2,2022
AZ,433.97,504.62,1.107,1.442,0.739,1.054,1671950.4,2,2022
CA,476.83,554.46,1.021,1.418,0.78,1.077,24982607.1,2,2022
CO,462.37,537.64,1.056,1.396,0.739,1.054,2714420.5,2,2022
CT,617.96,718.56,1.286,1.534,0.739,1.055,1145192.5,2,2022
DC,479.66,557.75,1.11,1.034,0.814,1.095,1032477.4,2,2022
DE,591.94,688.31,1.307,1.495,0.774,1.07,275732.7,2,2022
FL,514.07,597.76,1.272,1.497,0.77,1.07,4085723.5,2,2022
GA,633.3,736.39,1.356,1.473,0.754,1.06,955724.4,2,2022
HI,434.58,505.32,1.176,1.503,0.887,1.141,550933.3,2,2022
IA,417.47,485.43,1.084,1.454,0.716,1.043,1141998.2,2,2022
ID,365.53,425.03,0.967,1.377,0.739,1.053,984087.5,2,2022
IL,494.67,575.2,1.219,1.463,0.795,1.083,5153581.2,2,2022
IN,582.82,677.7,1.34,1.515,0.745,1.055,836234.6,2,2022
KS,434.45,505.18,1.229,1.44,0.767,1.069,898405,2,2022
KY,604.25,702.62,1.62,1.487,0.764,1.064,263576.4,2,2022
LA,472.09,548.95,1.207,1.458,0.774,1.071,1491572.8,2,2022
MD,448.71,521.75,1.124,1.474,0.751,1.059,2983064.2,2,2022
ME,483.18,561.84,1.083,1.514,0.709,1.039,574963.3,2,2022
MI,380.15,442.03,1.164,1.444,0.794,1.081,5168330.5,2,2022
MN,480.41,558.62,1.131,1.483,0.747,1.058,2749299.7,2,2022
MO,534.47,621.47,1.362,1.465,0.753,1.061,898583.3,2,2022
MS,386.41,449.32,1.125,1.376,0.773,1.068,480843.5,2,2022
MT,426.05,495.41,1.005,1.422,0.727,1.049,560386.3,2,2022
NC,474.63,551.89,1.152,1.488,0.75,1.058,2360682.3,2,2022
ND,441.97,513.91,1.13,1.35,0.818,1.098,503652.3,2,2022
NE,553.01,643.03,1.224,1.443,0.726,1.047,392553,2,2022
NH,490.5,570.35,1.12,1.515,0.742,1.052,760515.8,2,2022
NJ,583.68,678.7,1.292,1.493,0.755,1.061,3260240.7,2,2022
NM,505.51,587.81,1.139,1.499,0.778,1.073,529484.6,2,2022
NV,423.99,493.01,1.056,1.405,0.759,1.062,987274,2,2022
NY,722.29,839.87,1.54,0.976,0.767,1.07,8882827.5,2,2022
OH,691.18,803.7,1.797,1.548,0.751,1.059,521505.8,2,2022
OK,391.69,455.46,1.255,1.465,0.777,1.074,2025498.2,2,2022
OR,421.14,489.69,1.025,1.418,0.771,1.07,2193692.9,2,2022
PA,486.59,565.81,1.291,1.503,0.779,1.073,4740211.6,2,2022
RI,491.03,570.97,1.302,1.538,0.812,1.093,576894.8,2,2022
SC,577.68,671.72,1.2,1.47,0.739,1.052,632393.9,2,2022
SD,455.44,529.58,1.054,1.419,0.689,1.031,401691.6,2,2022
TN,431.46,501.7,1.247,1.484,0.737,1.053,1942462.7,2,2022
TX,526.98,612.77,1.272,1.447,0.751,1.06,7543970.7,2,2022
UT,335.71,390.36,1.013,1.419,0.742,1.054,1696570.5,2,2022
VA,483.64,562.37,1.196,1.449,0.784,1.076,3668468,2,2022
VT,561.91,653.38,1.278,0.978,0.762,1.067,445911.6,2,2022
WA,449,522.09,1.108,1.471,0.768,1.068,2792481.8,2,2022
WI,510.33,593.41,1.171,1.458,0.768,1.069,1295128.7,2,2022
WV,670.84,780.05,1.399,1.541,0.757,1.062,177613.9,2,2022
WY,574.45,667.96,1.078,1.38,0.745,1.056,91592.9,2,2022
AL,250.94,291.79,0.849,1.122,0.57,1,13570.3,3,2022
AR,211.34,245.74,0.082,1.048,0.57,1,39.2,3,2022
AZ,178.2,207.21,0.267,0.999,0.57,1,4127.6,3,2022
CA,176.98,205.79,0.267,0.975,0.57,1,309319.6,3,2022
CO,157.76,183.44,0.296,1.003,0.57,1,49025.8,3,2022
CT,163.36,189.96,0.283,1.022,0.57,1,21300,3,2022
DC,113.1,131.51,0.247,0.734,0.57,1,5452.3,3,2022
DE,214.44,249.35,0.475,1.038,0.57,1,2037.4,3,2022
FL,201.83,234.69,0.582,1.172,0.57,1,35392.7,3,2022
GA,199.41,231.87,0.875,1.113,0.57,1,33114.5,3,2022
HI,128.81,149.78,0.176,0.971,0.57,1,5346.6,3,2022
IA,200.42,233.05,0.574,1.009,0.57,1,2811.3,3,2022
ID,191.87,223.1,0.484,0.972,0.57,1,5878.4,3,2022
IL,259.81,302.1,0.581,1.005,0.57,1,17646.7,3,2022
KS,242.09,281.5,0.558,1.118,0.57,1,2947.3,3,2022
KY,176.53,205.27,0.404,0.983,0.57,1,7756.1,3,2022
MA,267.26,310.77,0.36,1.19,0.57,1,11700.8,3,2022
MD,90.8,105.58,0.366,0.985,0.57,1,57476.3,3,2022
ME,159.84,185.86,0.312,1.021,0.57,1,9062.8,3,2022
MI,170.76,198.56,0.494,1.007,0.57,1,58917.1,3,2022
MN,137.36,159.72,0.363,1.023,0.57,1,47204.4,3,2022
MO,191.58,222.77,0.387,0.992,0.57,1,9225.7,3,2022
MT,212.44,247.02,0.289,0.989,0.57,1,2847.4,3,2022
NC,188.59,219.29,0.566,1.045,0.57,1,100731.1,3,2022
ND,127.64,148.41,0.399,0.996,0.57,1,19141.1,3,2022
NE,223.59,259.99,1.019,0.969,0.57,1,6026.1,3,2022
NH,133.62,155.37,0.307,1.024,0.57,1,11118.9,3,2022
NJ,212.52,247.12,0.349,1.016,0.57,1,26560.8,3,2022
NV,196.57,228.56,0.506,0.98,0.57,1,4813.7,3,2022
NY,177.84,206.79,0.239,0.997,0.57,1,55455.7,3,2022
OH,161.5,187.79,0.469,1.022,0.57,1,29616.9,3,2022
OK,211.76,246.24,0.293,0.988,0.57,1,3561.8,3,2022
OR,154.37,179.51,0.367,0.932,0.57,1,7623.1,3,2022
PA,176.63,205.38,0.425,1.037,0.57,1,21098.5,3,2022
SC,165.62,192.58,0.587,1.087,0.57,1,33243.3,3,2022
SD,196.61,228.62,0.317,1.006,0.57,1,11022,3,2022
TN,253.3,294.54,0.491,1.169,0.57,1,3411.6,3,2022
TX,226.3,263.13,0.621,1.087,0.57,1,64268.1,3,2022
UT,177.52,206.42,0.918,1.149,0.57,1,9903.2,3,2022
VA,174.57,202.99,0.445,1.015,0.57,1,30458,3,2022
VT,202.56,235.54,0.244,1,0.57,1,3030.8,3,2022
WA,166.25,193.32,0.258,1.005,0.57,1,11951.1,3,2022
WI,177.54,206.44,0.435,1.024,0.57,1,18045.1,3,2022
WV,326.85,380.06,1.344,0.999,0.57,1,919.6,3,2022
MA,494.28,574.74,1.241,1.531,0.726,1.046,8025902.8,4,2022
AK,726.13,844.34,1.262,1.607,0.708,1.042,281048,1,2023
AL,627.08,729.17,1.708,1.655,0.681,1.025,3336332.4,1,2023
AR,462.76,538.09,1.701,1.528,0.693,1.028,4218868.6,1,2023
AZ,477.91,555.71,1.36,1.702,0.67,1.022,2898120.1,1,2023
CA,521.46,606.35,1.176,1.669,0.698,1.035,25515333.8,1,2023
CO,428.39,498.13,1.19,1.668,0.678,1.028,3000017.9,1,2023
CT,726.03,844.22,1.428,1.82,0.687,1.031,1411486.9,1,2023
DC,581.6,676.28,1.428,1.16,0.737,1.058,155658.2,1,2023
DE,620.89,721.96,1.494,1.719,0.728,1.05,440522.6,1,2023
FL,529.85,616.1,1.343,1.623,0.674,1.023,40001994.4,1,2023
GA,461.06,536.11,1.462,1.613,0.683,1.027,11181185.8,1,2023
HI,540.8,628.84,1.237,1.728,0.755,1.067,380596.4,1,2023
IA,556.62,647.23,1.362,1.838,0.696,1.036,984825,1,2023
ID,414.38,481.83,1.15,1.582,0.653,1.018,1097708.3,1,2023
IL,581.18,675.79,1.398,1.742,0.671,1.024,4297179.8,1,2023
IN,476.29,553.82,1.36,1.732,0.661,1.019,2321358.4,1,2023
KS,551.04,640.74,1.756,1.689,0.683,1.028,1550309.1,1,2023
KY,527.11,612.92,1.704,1.813,0.661,1.02,729423.1,1,2023
LA,636.75,740.41,1.455,1.71,0.67,1.023,1676340.4,1,2023
MD,400.75,465.99,1.453,1.696,0.73,1.05,2775545.7,1,2023
MI,445.67,518.22,1.303,1.741,0.655,1.018,4395086.8,1,2023
MN,418.31,486.41,1.236,1.796,0.673,1.026,1913915.3,1,2023
MO,562.52,654.09,1.618,1.731,0.668,1.021,3116820.2,1,2023
MS,522.9,608.02,1.57,1.632,0.677,1.024,2322789.9,1,2023
MT,520.37,605.08,1.179,1.694,0.65,1.017,716622.9,1,2023
NC,547.27,636.37,1.38,1.64,0.67,1.023,10022675.4,1,2023
ND,457.02,531.42,1.282,1.577,0.701,1.038,562171.5,1,2023
NE,573.01,666.29,1.321,1.609,0.641,1.014,1157378.6,1,2023
NH,397.49,462.2,1.314,1.77,0.687,1.03,774126.4,1,2023
NJ,564.24,656.09,1.338,1.701,0.685,1.026,4618148,1,2023
NM,486.01,565.13,1.38,1.843,0.762,1.063,598630.5,1,2023
NV,459.08,533.81,1.326,1.675,0.663,1.02,1246854.6,1,2023
NY,590.86,687.05,1.529,0.982,0.689,1.035,2926623.5,1,2023
OH,500.25,581.69,1.523,1.79,0.655,1.018,3973546.9,1,2023
OK,546.45,635.41,1.526,1.608,0.671,1.025,2521732.5,1,2023
OR,523.65,608.9,1.253,1.732,0.677,1.027,1961528.5,1,2023
PA,526.58,612.3,1.463,1.796,0.717,1.043,5333697.6,1,2023
RI,458.04,532.6,1.333,1.748,0.721,1.046,480570.7,1,2023
SC,523.38,608.58,1.399,1.652,0.657,1.018,5182384.2,1,2023
SD,611.49,711.04,1.352,1.585,0.664,1.021,597438.7,1,2023
TN,534.87,621.94,1.64,1.685,0.659,1.018,4508617.3,1,2023
TX,488.32,567.81,1.388,1.599,0.704,1.036,30249093.6,1,2023
UT,377.87,439.38,1.062,1.5,0.655,1.017,3687620.2,1,2023
VA,408.61,475.13,1.242,1.666,0.688,1.032,4312065.8,1,2023
VT,696.59,809.99,1.296,0.988,0.706,1.04,349673.5,1,2023
WA,489.01,568.61,1.293,1.752,0.679,1.027,2968259.2,1,2023
WI,567.29,659.63,1.393,1.918,0.669,1.024,2749481.8,1,2023
WV,986.53,1147.13,1.705,1.854,0.68,1.029,367817.1,1,2023
WY,824.29,958.48,1.427,1.645,0.738,1.053,456654.2,1,2023
AK,807.22,938.63,1.104,1.471,0.74,1.054,144109.6,2,2023
AL,445.85,518.43,1.298,1.518,0.777,1.073,2260745.3,2,2023
AR,393.63,457.71,1.219,1.455,0.788,1.077,735756.9,2,2023
AZ,461.94,537.13,1.087,1.446,0.742,1.056,1565348.7,2,2023
