Variable,Platinum_Level,Gold_Level,Silver_Level,Bronze_Level,Catastrophic_Level
AGE0_MALE,0.498,0.46,0.421,0.36,0.34
AGE1_MALE,0.067,0.052,0.032,0.011,0.007
AGE1_X_SEVERITY1,0.569,0.478,0.421,0.38,0.368
AGE1_X_SEVERITY2,1.802,1.576,1.352,1.132,1.07
AGE1_X_SEVERITY3,2.842,2.58,2.365,2.151,2.097
AGE1_X_SEVERITY4,12.005,11.504,11.187,10.827,10.759
AGE1_X_SEVERITY5,69.546,68.851,68.623,68.313,68.286
EXTREMELY_IMMATURE_X_SEVERITY1,29.087,27.703,27.191,26.528,26.453
EXTREMELY_IMMATURE_X_SEVERITY2,29.087,27.703,27.191,26.528,26.453
EXTREMELY_IMMATURE_X_SEVERITY3,29.087,27.703,27.191,26.528,26.453
EXTREMELY_IMMATURE_X_SEVERITY4,129.748,128.048,127.479,126.693,126.619
EXTREMELY_IMMATURE_X_SEVERITY5,197.671,196.159,195.801,195.221,195.198
IMMATURE_X_SEVERITY1,21.881,20.636,20.094,19.436,19.346
IMMATURE_X_SEVERITY2,22.383,21.155,20.619,19.967,19.876
IMMATURE_X_SEVERITY3,29.087,27.703,27.191,26.528,26.453
IMMATURE_X_SEVERITY4,67.497,65.845,65.42,64.76,64.712
IMMATURE_X_SEVERITY5,123.452,121.973,121.649,121.124,121.107
PREMATURE_MULTIPLES_X_SEVERITY1,5.481,4.884,4.306,3.679,3.503
PREMATURE_MULTIPLES_X_SEVERITY2,7.667,6.967,6.351,5.654,5.48
PREMATURE_MULTIPLES_X_SEVERITY3,12.192,11.287,10.647,9.906,9.741
PREMATURE_MULTIPLES_X_SEVERITY4,27.962,26.6,26.069,25.389,25.317
PREMATURE_MULTIPLES_X_SEVERITY5,107.44,105.978,105.584,105.002,104.96
TERM_X_SEVERITY1,2.081,1.689,1.247,0.869,0.778
TERM_X_SEVERITY2,3.764,3.279,2.717,2.108,1.931
TERM_X_SEVERITY3,5.49,4.92,4.339,3.704,3.528
TERM_X_SEVERITY4,16.487,15.512,14.88,14.15,14.017
TERM_X_SEVERITY5,80.094,78.884,78.453,77.86,77.791
