Variable,Platinum_Level,Gold_Level,Silver_Level,Bronze_Level,Catastrophic_Level
RXC_09_X_HCC056_057_AND_048_041,0.492,0.557,0.646,0.751,0.78
RXC_09_X_HCC057,-0.355,-0.286,-0.198,-0.098,-0.069
RXC_10,22.801,22.295,22.221,22.083,22.098
RXC_10_X_HCC159_158,36.448,36.46,36.625,36.751,36.785
SEVERE_1_HCC,-5.506,-5.552,-5.642,-5.734,-5.757
SEVERE_10_HCC,4.976,5.806,6.546,7.415,7.608
SEVERE_2_HCC,-5.381,-5.451,-5.529,-5.615,-5.63
SEVERE_3_HCC,-4.624,-4.683,-4.671,-4.664,-4.645
SEVERE_4_HCC,-4.046,-4.06,-3.933,-3.798,-3.74
SEVERE_5_HCC,-3.634,-3.59,-3.359,-3.113,-3.027
SEVERE_6_HCC,-3.188,-3.063,-2.734,-2.385,-2.275
SEVERE_7_HCC,-2.71,-2.475,-2.06,-1.614,-1.485
SEVERE_8_HCC,-2.359,-2.047,-1.553,-1.014,-0.87
SEVERE_9_HCC,-0.965,-0.515,0.053,0.682,0.839
TRANSPLANT_4_HCC,3.531,3.394,3.262,3.071,3.034
TRANSPLANT_5_HCC,6.812,6.664,6.54,6.354,6.326
TRANSPLANT_6_HCC,10.112,9.96,9.839,9.656,9.631
TRANSPLANT_7_HCC,15.321,15.165,15.051,14.879,14.859
TRANSPLANT_8_HCC,29.664,29.601,29.511,29.375,29.357
