Variable,Platinum_Level,Gold_Level,Silver_Level,Bronze_Level,Catastrophic_Level
AGE0_MALE,0.587999999523163,0.542999982833862,0.526000022888184,0.48199999332428,0.465999990701675
AGE1_MALE,0.136999994516373,0.120999999344349,0.109999999403954,0.0860000029206276,0.0799999982118607
AGE1_X_SEVERITY1,0.531000018119812,0.437000006437302,0.28999999165535,0.188999995589256,0.17399999499321
AGE1_X_SEVERITY2,1.98399996757507,1.75600004196167,1.51400005817413,1.24000000953674,1.19200003147125
AGE1_X_SEVERITY3,3.12199997901917,2.83400011062622,2.55999994277954,2.29999995231628,2.2590000629425
AGE1_X_SEVERITY4,8.83199977874756,8.36499977111816,8.00800037384033,7.76900005340576,7.73099994659424
AGE1_X_SEVERITY5,51.0219993591309,50.3860015869141,49.9160003662109,49.7970008850098,49.7830009460449
EXTREMELY_IMMATURE_X_SEVERITY1,40.4169998168945,39.4220008850098,38.6749992370605,38.4469985961914,38.4199981689453
EXTREMELY_IMMATURE_X_SEVERITY2,40.4169998168945,39.4220008850098,38.6749992370605,38.4469985961914,38.4199981689453
EXTREMELY_IMMATURE_X_SEVERITY3,40.4169998168945,39.4220008850098,38.6749992370605,38.4469985961914,38.4199981689453
EXTREMELY_IMMATURE_X_SEVERITY4,172.00700378418,170.781997680664,169.886993408203,169.783004760742,169.779006958008
EXTREMELY_IMMATURE_X_SEVERITY5,289.834991455078,288.585998535156,287.6669921875,287.601013183594,287.605987548828
IMMATURE_X_SEVERITY1,26.4050006866455,25.3810005187988,24.628999710083,24.386999130249,24.3540000915527
IMMATURE_X_SEVERITY2,26.4050006866455,25.3810005187988,24.628999710083,24.386999130249,24.3540000915527
IMMATURE_X_SEVERITY3,40.4169998168945,39.4220008850098,38.6749992370605,38.4469985961914,38.4199981689453
IMMATURE_X_SEVERITY4,77.9889984130859,76.7600021362305,75.8610000610352,75.7689971923828,75.7699966430664
IMMATURE_X_SEVERITY5,167.074996948242,165.835006713867,164.923004150391,164.854995727539,164.863006591797
PREMATURE_MULTIPLES_X_SEVERITY1,5.66900014877319,5.12099981307983,4.62099981307983,4.05900001525879,3.95300006866455
PREMATURE_MULTIPLES_X_SEVERITY2,8.35599994659424,7.61999988555908,7.06699991226196,6.5460000038147,6.44500017166138
PREMATURE_MULTIPLES_X_SEVERITY3,15.1999998092651,14.2980003356934,13.6400003433228,13.2659997940063,13.2069997787476
PREMATURE_MULTIPLES_X_SEVERITY4,29.2350006103516,28.0779991149902,27.2490005493164,27.0459995269775,27.0289993286133
PREMATURE_MULTIPLES_X_SEVERITY5,127.68399810791,126.491996765137,125.63200378418,125.512001037598,125.512001037598
TERM_X_SEVERITY1,1.59200000762939,1.36099994182587,0.971000015735626,0.453999996185303,0.375
TERM_X_SEVERITY2,3.62100005149841,3.18499994277954,2.74600005149841,2.12299990653992,1.99699997901917
TERM_X_SEVERITY3,5.97200012207031,5.4060001373291,4.91599988937378,4.34499979019165,4.22700023651123
TERM_X_SEVERITY4,15.4359998703003,14.548999786377,13.9099998474121,13.4770002365112,13.4099998474121
TERM_X_SEVERITY5,105.353996276855,104.247001647949,103.430000305176,103.225997924805,103.206001281738
