Variable,Platinum_Level,Gold_Level,Silver_Level,Bronze_Level,Catastrophic_Level
AGE0_MALE,0.606,0.567,0.529,0.46,0.457
AGE1_MALE,0.103,0.086,0.069,0.05,0.049
AGE1_X_SEVERITY1,0.571,0.494,0.441,0.403,0.402
AGE1_X_SEVERITY2,1.972,1.743,1.522,1.314,1.306
AGE1_X_SEVERITY3,3.129,2.858,2.629,2.433,2.426
AGE1_X_SEVERITY4,12.415,11.949,11.629,11.372,11.364
AGE1_X_SEVERITY5,62.403,61.77,61.417,61.239,61.234
EXTREMELY_IMMATURE_X_SEVERITY1,32.417,31.185,30.495,30.117,30.109
EXTREMELY_IMMATURE_X_SEVERITY2,32.417,31.185,30.495,30.117,30.109
EXTREMELY_IMMATURE_X_SEVERITY3,32.417,31.185,30.495,30.117,30.109
EXTREMELY_IMMATURE_X_SEVERITY4,142.713,141.194,140.396,140.023,140.018
EXTREMELY_IMMATURE_X_SEVERITY5,219.854,218.55,217.927,217.743,217.744
IMMATURE_X_SEVERITY1,25.4,24.244,23.568,23.149,23.138
IMMATURE_X_SEVERITY2,25.4,24.244,23.568,23.149,23.138
IMMATURE_X_SEVERITY3,32.417,31.185,30.495,30.117,30.109
IMMATURE_X_SEVERITY4,68.882,67.469,66.748,66.449,66.443
IMMATURE_X_SEVERITY5,130.15,128.727,128.031,127.783,127.781
PREMATURE_MULTIPLES_X_SEVERITY1,5.674,5.092,4.517,3.966,3.945
PREMATURE_MULTIPLES_X_SEVERITY2,7.977,7.29,6.663,5.951,5.922
PREMATURE_MULTIPLES_X_SEVERITY3,14.035,13.101,12.435,11.838,11.817
PREMATURE_MULTIPLES_X_SEVERITY4,28.422,27.186,26.499,26.11,26.103
PREMATURE_MULTIPLES_X_SEVERITY5,107.912,106.702,106.087,105.833,105.828
TERM_X_SEVERITY1,1.808,1.45,1.001,0.72,0.71
TERM_X_SEVERITY2,3.567,3.09,2.524,1.922,1.897
TERM_X_SEVERITY3,5.991,5.423,4.855,4.253,4.23
TERM_X_SEVERITY4,15.824,14.941,14.315,13.754,13.738
TERM_X_SEVERITY5,81.816,80.759,80.174,79.859,79.852
