Variable,Platinum_Level,Gold_Level,Silver_Level,Bronze_Level,Catastrophic_Level
FAGE_LAST_10_14,0.191,0.134,0.092,0.068,0.067
FAGE_LAST_15_20,0.265,0.187,0.122,0.073,0.071
FAGE_LAST_2_4,0.177,0.118,0.079,0.051,0.05
FAGE_LAST_5_9,0.122,0.07,0.037,0.016,0.015
G01,2.612,2.363,2.134,1.805,1.795
G02B,39.839,39.617,39.513,39.472,39.471
G02D,5.822,5.719,5.642,5.576,5.573
G03,3.587,3.403,3.278,3.181,3.178
G04,1.313,1.21,1.124,1.042,1.039
G06A,15.28,15.144,15.071,15.026,15.025
G07A,5.41,5.204,5.058,4.935,4.931
G08,5.839,5.714,5.636,5.578,5.576
G09A,2.924,2.758,2.632,2.496,2.491
G09C,1.113,0.972,0.844,0.716,0.712
G10,11.9,11.756,11.694,11.68,11.681
G11,8.823,8.627,8.523,8.442,8.44
G12,4.534,4.387,4.277,4.164,4.161
G13,10.252,10.067,9.988,9.945,9.946
G14,16.842,16.819,16.822,16.83,16.829
G16,4.6,4.492,4.394,4.283,4.279
G17A,0.748,0.621,0.449,0.237,0.227
G18A,3.475,3.173,2.908,2.463,2.447
G19B,0.695,0.548,0.358,0.177,0.172
G22,4.758,4.565,4.43,4.284,4.279
G23,2.568,2.506,2.484,2.472,2.473
HHS_HCC001,5.846,5.446,5.222,5.058,5.054
HHS_HCC002,13.076,12.93,12.869,12.835,12.836
HHS_HCC003,8.033,7.897,7.841,7.828,7.829
HHS_HCC004,2.626,2.467,2.337,2.169,2.164
HHS_HCC006,14.919,14.904,14.887,14.864,14.863
HHS_HCC008,35.966,35.74,35.635,35.613,35.613
HHS_HCC009,9.22,8.99,8.841,8.727,8.723
HHS_HCC010,7.178,6.963,6.81,6.674,6.67
HHS_HCC011,4.342,4.197,4.079,3.955,3.95
HHS_HCC012,4.342,4.197,4.079,3.955,3.95
HHS_HCC013,0.924,0.809,0.7,0.579,0.575
HHS_HCC018,8.841,8.686,8.586,8.485,8.483
HHS_HCC019,0,0,0,0,0
HHS_HCC020,0,0,0,0,0
HHS_HCC021,0,0,0,0,0
HHS_HCC023,13.566,13.485,13.464,13.485,13.486
HHS_HCC026,0,0,0,0,0
HHS_HCC027,0,0,0,0,0
HHS_HCC028,0,0,0,0,0
HHS_HCC029,0,0,0,0,0
HHS_HCC030,6.837,6.621,6.5,6.442,6.44
HHS_HCC034,8.841,8.686,8.586,8.485,8.483
HHS_HCC035_1,17.574,17.546,17.579,17.664,17.668
HHS_HCC035_2,13.757,13.669,13.631,13.602,13.601
HHS_HCC036,4.121,4.067,4.026,3.972,3.974
HHS_HCC037_1,2.621,2.479,2.402,2.39,2.391
HHS_HCC037_2,0.132,0.091,0.054,0.016,0.015
HHS_HCC041,16.842,16.819,16.822,16.83,16.829
HHS_HCC042,11.679,11.439,11.329,11.294,11.295
HHS_HCC045,5.173,5.01,4.892,4.779,4.775
HHS_HCC046,12.085,11.919,11.851,11.844,11.845
HHS_HCC047,7.147,6.966,6.85,6.733,6.731
HHS_HCC048,9.151,8.799,8.595,8.441,8.437
HHS_HCC054,0,0,0,0,0
HHS_HCC055,0,0,0,0,0
HHS_HCC056,5.087,4.86,4.711,4.609,4.606
HHS_HCC057,0.678,0.566,0.45,0.321,0.316
HHS_HCC061,0,0,0,0,0
HHS_HCC062,0,0,0,0,0
HHS_HCC063,1.185,1.042,0.922,0.789,0.784
HHS_HCC066,71.879,71.45,71.242,71.155,71.154
HHS_HCC067,0,0,0,0,0
HHS_HCC068,0,0,0,0,0
HHS_HCC069,0,0,0,0,0
HHS_HCC070,0,0,0,0,0
HHS_HCC071,0,0,0,0,0
HHS_HCC073,0,0,0,0,0
HHS_HCC074,0,0,0,0,0
HHS_HCC075,4.605,4.499,4.413,4.331,4.329
HHS_HCC081,0,0,0,0,0
HHS_HCC082,0,0,0,0,0
HHS_HCC083,0,0,0,0,0
HHS_HCC084,0,0,0,0,0
HHS_HCC087_1,4.606,4.331,4.146,3.976,3.97
HHS_HCC087_2,3.008,2.8,2.63,2.454,2.448
HHS_HCC088,2.668,2.474,2.307,2.135,2.128
HHS_HCC090,0.452,0.356,0.244,0.126,0.121
HHS_HCC094,2.154,1.987,1.858,1.74,1.736
HHS_HCC096,1.637,1.531,1.457,1.379,1.376
HHS_HCC097,1.447,1.334,1.245,1.151,1.148
HHS_HCC102,2.668,2.474,2.307,2.135,2.128
HHS_HCC103,0.457,0.369,0.267,0.166,0.162
HHS_HCC106,0,0,0,0,0
HHS_HCC107,0,0,0,0,0
HHS_HCC108,0,0,0,0,0
HHS_HCC109,0,0,0,0,0
HHS_HCC110,3.939,3.77,3.64,3.514,3.509
HHS_HCC111,31.125,30.906,30.769,30.671,30.669
HHS_HCC112,3.767,3.62,3.568,3.551,3.553
HHS_HCC113,0.599,0.481,0.379,0.257,0.252
HHS_HCC114,2.207,2.103,2.029,1.96,1.957
HHS_HCC115,11.008,10.884,10.839,10.844,10.845
HHS_HCC117,0,0,0,0,0
HHS_HCC118,12.97,12.611,12.453,12.402,12.402
HHS_HCC119,0,0,0,0,0
HHS_HCC120,2.113,1.977,1.844,1.705,1.699
HHS_HCC121,4.439,4.348,4.29,4.251,4.25
HHS_HCC122,4.611,4.505,4.439,4.386,4.385
HHS_HCC123,5.128,4.967,4.827,4.671,4.664
HHS_HCC125,31.476,31.422,31.478,31.622,31.628
HHS_HCC126,0,0,0,0,0
HHS_HCC127,0,0,0,0,0
HHS_HCC128,0,0,0,0,0
HHS_HCC129,0,0,0,0,0
HHS_HCC130,6.072,5.984,5.925,5.881,5.879
HHS_HCC131,0,0,0,0,0
HHS_HCC132,0,0,0,0,0
HHS_HCC135,11.667,11.585,11.544,11.523,11.522
HHS_HCC137,3.945,3.787,3.648,3.536,3.532
HHS_HCC138,1.238,1.131,1.01,0.907,0.903
HHS_HCC139,0.75,0.653,0.558,0.481,0.479
HHS_HCC142,3.495,3.352,3.245,3.157,3.154
HHS_HCC145,9.192,9.061,9.001,8.97,8.969
HHS_HCC146,2.749,2.696,2.677,2.666,2.667
HHS_HCC149,3.235,3.082,2.98,2.885,2.881
HHS_HCC150,6.65,6.551,6.492,6.441,6.439
HHS_HCC151,4.1,3.979,3.898,3.817,3.813
HHS_HCC153,12.487,12.317,12.221,12.151,12.15
HHS_HCC154,10.67,10.6,10.582,10.602,10.604
HHS_HCC156,16.697,16.623,16.602,16.606,16.607
HHS_HCC158,16.842,16.819,16.822,16.83,16.829
HHS_HCC159,48.89,48.432,48.224,48.173,48.173
HHS_HCC160,2.923,2.793,2.682,2.564,2.561
HHS_HCC161_1,0.807,0.642,0.473,0.284,0.277
HHS_HCC161_2,0.326,0.244,0.155,0.081,0.078
HHS_HCC162,1.481,1.388,1.299,1.221,1.218
HHS_HCC163,6.551,6.508,6.495,6.508,6.509
HHS_HCC183,8.841,8.686,8.586,8.485,8.483
HHS_HCC184,41.577,41.472,41.473,41.558,41.561
HHS_HCC187,0,0,0,0,0
HHS_HCC188,0,0,0,0,0
HHS_HCC203,1.923,1.71,1.517,1.269,1.263
HHS_HCC204,0,0,0,0,0
HHS_HCC205,0,0,0,0,0
HHS_HCC207,0,0,0,0,0
HHS_HCC208,0,0,0,0,0
HHS_HCC209,2.381,2.158,1.902,1.424,1.402
HHS_HCC210,0,0,0,0,0
HHS_HCC211,0,0,0,0,0
HHS_HCC212,0.349,0.244,0.12,0.014,0.011
HHS_HCC217,2.815,2.721,2.638,2.567,2.565
HHS_HCC218,16.569,16.375,16.274,16.231,16.229
HHS_HCC219,2.06,1.921,1.808,1.694,1.69
HHS_HCC223,16.569,16.375,16.274,16.231,16.229
HHS_HCC226,4.53,4.32,4.167,4.054,4.052
HHS_HCC228,3.934,3.751,3.603,3.446,3.44
HHS_HCC234,0,0,0,0,0
HHS_HCC251,16.842,16.819,16.822,16.83,16.829
HHS_HCC253,10.291,10.196,10.202,10.268,10.272
HHS_HCC254,0,0,0,0,0
MAGE_LAST_10_14,0.203,0.143,0.099,0.072,0.071
MAGE_LAST_15_20,0.243,0.179,0.126,0.087,0.086
MAGE_LAST_2_4,0.23,0.162,0.112,0.073,0.072
MAGE_LAST_5_9,0.17,0.112,0.071,0.045,0.044
