Variable,Platinum_Level,Gold_Level,Silver_Level,Bronze_Level,Catastrophic_Level
ED_1,0.281,0.23,0.209,0.192,0.191
ED_10,0.004,0.001,0,0,0
ED_11,0.001,0,0,0,0
ED_2,0.269,0.218,0.196,0.181,0.18
ED_3,0.268,0.217,0.193,0.178,0.177
ED_4,0.217,0.171,0.148,0.136,0.136
ED_5,0.203,0.162,0.139,0.127,0.127
ED_6,0.17,0.134,0.113,0.102,0.101
ED_7,0.128,0.101,0.084,0.074,0.074
ED_8,0.088,0.069,0.055,0.048,0.048
ED_9,0.049,0.036,0.027,0.021,0.021
FAGE_LAST_21_24,0.217,0.151,0.093,0.047,0.045
FAGE_LAST_25_29,0.236,0.165,0.103,0.053,0.051
FAGE_LAST_30_34,0.306,0.226,0.155,0.097,0.095
FAGE_LAST_35_39,0.372,0.283,0.204,0.139,0.136
FAGE_LAST_40_44,0.425,0.326,0.238,0.163,0.16
FAGE_LAST_45_49,0.432,0.329,0.234,0.153,0.149
FAGE_LAST_50_54,0.47,0.366,0.269,0.185,0.181
FAGE_LAST_55_59,0.445,0.339,0.241,0.156,0.152
FAGE_LAST_60_GT,0.446,0.337,0.235,0.147,0.144
G01,0.427,0.36,0.299,0.243,0.24
G02B,29.195,29.017,28.94,28.93,28.931
G04,2.433,2.281,2.177,2.083,2.08
G06A,14.086,13.994,13.949,13.929,13.928
G07A,2.795,2.679,2.593,2.514,2.511
G08,4.77,4.683,4.639,4.615,4.614
G09A,2.622,2.446,2.303,2.144,2.138
G09C,1.224,1.095,0.995,0.891,0.887
G10,11.562,11.447,11.385,11.344,11.343
G11,7.825,7.689,7.61,7.549,7.547
G12,1.763,1.654,1.559,1.447,1.442
G13,6.658,6.534,6.52,6.581,6.585
G14,26.896,26.755,26.704,26.706,26.708
G15A,0.771,0.673,0.576,0.472,0.468
G16,0.953,0.912,0.9,0.91,0.911
G17A,0.848,0.732,0.579,0.375,0.365
G18A,4.049,3.741,3.498,3.132,3.123
G21,2.586,2.489,2.409,2.341,2.338
HHS_HCC001,1.52,1.379,1.282,1.212,1.21
