Variable,Platinum_Level,Gold_Level,Silver_Level,Bronze_Level,Catastrophic_Level
AGE0_MALE,0.646000028,0.595000029,0.560000002,0.488999993,0.477999985
AGE1_MALE,0.119999997,0.105999999,0.093000002,0.072999999,0.07
AGE1_X_SEVERITY1,0.514999986,0.455000013,0.374000013,0.31400001,0.307000011
AGE1_X_SEVERITY2,1.879999995,1.672999978,1.452000022,1.218999982,1.190999985
AGE1_X_SEVERITY3,3.013000011,2.743999958,2.490999937,2.26699996,2.240999937
AGE1_X_SEVERITY4,10.54599953,10.00300026,9.56099987,9.255000114,9.218999863
AGE1_X_SEVERITY5,57.82500076,57.07400131,56.51200104,56.40000153,56.38899994
EXTREMELY_IMMATURE_X_SEVERITY1,34.93999863,33.75299835,32.85900116,32.57699966,32.55500031
EXTREMELY_IMMATURE_X_SEVERITY2,34.93999863,33.75299835,32.85900116,32.57699966,32.55500031
EXTREMELY_IMMATURE_X_SEVERITY3,34.93999863,33.75299835,32.85900116,32.57699966,32.55500031
EXTREMELY_IMMATURE_X_SEVERITY4,148.9940033,147.2510071,145.9790039,145.798996,145.7830048
EXTREMELY_IMMATURE_X_SEVERITY5,242.2619934,240.6569977,239.4830017,239.4609985,239.4609985
IMMATURE_X_SEVERITY1,24.55900002,23.30500031,22.37700081,22.06399918,22.02599907
IMMATURE_X_SEVERITY2,24.55900002,23.30500031,22.37700081,22.06399918,22.02599907
IMMATURE_X_SEVERITY3,33.91600037,32.61800003,31.66200066,31.42300034,31.39999962
IMMATURE_X_SEVERITY4,71.06600189,69.51300049,68.37000275,68.2539978,68.23999786
IMMATURE_X_SEVERITY5,149.4369965,147.8390045,146.6719971,146.625,146.6210022
PREMATURE_MULTIPLES_X_SEVERITY1,5.381000042,4.835000038,4.28399992,3.703999996,3.631999969
PREMATURE_MULTIPLES_X_SEVERITY2,8.284999847,7.519999981,6.881999969,6.223999977,6.127999783
PREMATURE_MULTIPLES_X_SEVERITY3,13.625,12.59200001,11.83399963,11.34599972,11.2869997
PREMATURE_MULTIPLES_X_SEVERITY4,26.70700073,25.33699989,24.35700035,24.08799934,24.06100082
PREMATURE_MULTIPLES_X_SEVERITY5,113.848999,112.4089966,111.3659973,111.2429962,111.2320023
TERM_X_SEVERITY1,1.595999956,1.375,0.97299999,0.578999996,0.54400003
TERM_X_SEVERITY2,3.614000082,3.187999964,2.690999985,2.051000118,1.970000029
TERM_X_SEVERITY3,5.728000164,5.171000004,4.645999908,4.041999817,3.959000111
TERM_X_SEVERITY4,13.87899971,12.97900009,12.32299995,11.85900021,11.80599976
TERM_X_SEVERITY5,87.08399963,85.83200073,84.90499878,84.69000244,84.66300201
