Variable,Platinum_Level,Gold_Level,Silver_Level,Bronze_Level,Catastrophic_Level
AGE0_MALE,0.634,0.59,0.557,0.494,0.491
AGE1_MALE,0.103,0.086,0.069,0.049,0.048
AGE1_X_SEVERITY1,0.611,0.499,0.443,0.406,0.405
AGE1_X_SEVERITY2,2.039,1.758,1.531,1.324,1.317
AGE1_X_SEVERITY3,3.079,2.756,2.528,2.344,2.337
AGE1_X_SEVERITY4,13.87,13.286,12.95,12.711,12.704
AGE1_X_SEVERITY5,70.542,69.775,69.404,69.235,69.232
EXTREMELY_IMMATURE_X_SEVERITY1,36.95,35.414,34.671,34.338,34.33
EXTREMELY_IMMATURE_X_SEVERITY2,36.95,35.414,34.671,34.338,34.33
EXTREMELY_IMMATURE_X_SEVERITY3,36.95,35.414,34.671,34.338,34.33
EXTREMELY_IMMATURE_X_SEVERITY4,162.909,161.046,160.171,159.788,159.782
EXTREMELY_IMMATURE_X_SEVERITY5,225.754,224.102,223.39,223.19,223.189
IMMATURE_X_SEVERITY1,28.369,26.894,26.146,25.745,25.734
IMMATURE_X_SEVERITY2,36.95,35.414,34.671,34.338,34.33
IMMATURE_X_SEVERITY3,36.95,35.414,34.671,34.338,34.33
IMMATURE_X_SEVERITY4,75.684,73.973,73.203,72.924,72.919
IMMATURE_X_SEVERITY5,127.417,125.708,124.964,124.729,124.726
PREMATURE_MULTIPLES_X_SEVERITY1,6.306,5.569,4.951,4.366,4.346
PREMATURE_MULTIPLES_X_SEVERITY2,8.402,7.557,6.909,6.201,6.175
PREMATURE_MULTIPLES_X_SEVERITY3,15.009,13.884,13.202,12.641,12.623
PREMATURE_MULTIPLES_X_SEVERITY4,32.082,30.557,29.821,29.46,29.453
PREMATURE_MULTIPLES_X_SEVERITY5,115.509,114.05,113.404,113.199,113.198
TERM_X_SEVERITY1,2.042,1.592,1.108,0.79,0.781
TERM_X_SEVERITY2,3.964,3.368,2.784,2.177,2.155
TERM_X_SEVERITY3,6.25,5.55,4.948,4.333,4.311
TERM_X_SEVERITY4,17.039,15.909,15.237,14.692,14.677
TERM_X_SEVERITY5,86.92,85.564,84.906,84.586,84.58
