Variable,Platinum_Level,Gold_Level,Silver_Level,Bronze_Level,Catastrophic_Level
ED_1,10.88,9.15,8.099,7.149,7.117
ED_2,5.224,4.342,3.782,3.305,3.288
ED_3,3.367,2.788,2.4,2.08,2.07
ED_4,2.219,1.818,1.536,1.309,1.301
ED_5,1.636,1.339,1.121,0.944,0.938
ED_6,1.088,0.869,0.701,0.561,0.556
FAGE_LAST_21_24,0.286,0.186,0.121,0.075,0.073
FAGE_LAST_25_29,0.307,0.199,0.129,0.078,0.076
FAGE_LAST_30_34,0.373,0.257,0.18,0.122,0.12
FAGE_LAST_35_39,0.44,0.317,0.234,0.172,0.17
FAGE_LAST_40_44,0.497,0.368,0.279,0.21,0.207
FAGE_LAST_45_49,0.501,0.368,0.276,0.201,0.198
FAGE_LAST_50_54,0.544,0.407,0.309,0.23,0.227
FAGE_LAST_55_59,0.512,0.376,0.278,0.199,0.196
FAGE_LAST_60_GT,0.511,0.372,0.271,0.19,0.188
G01,0.295,0.237,0.189,0.146,0.144
G02B,27.187,26.955,26.857,26.834,26.834
G04,2.273,2.113,2.012,1.922,1.919
G06A,12.434,12.293,12.226,12.181,12.177
G07A,2.115,2.003,1.925,1.852,1.849
G08,4.051,3.941,3.879,3.832,3.831
G09A,1.844,1.675,1.544,1.399,1.394
G09C,1.046,0.902,0.803,0.704,0.701
G10,9.999,9.801,9.692,9.611,9.609
G11,7.11,6.939,6.841,6.758,6.756
G12,1.561,1.445,1.353,1.252,1.248
G13,8.925,8.681,8.56,8.492,8.491
G14,19.352,19.182,19.086,19.034,19.039
G15A,0.708,0.61,0.518,0.424,0.42
G16,0.754,0.654,0.624,0.599,0.588
G17A,0.735,0.627,0.487,0.297,0.289
G18A,4.112,3.743,3.511,3.184,3.177
G21,2.354,2.242,2.159,2.087,2.085
G24,7.002,6.831,6.765,6.687,6.672
HHS_HCC001,0.61,0.495,0.426,0.382,0.38
HHS_HCC002,9.632,9.382,9.265,9.203,9.202
HHS_HCC003,8.965,8.831,8.747,8.678,8.675
HHS_HCC004,8.914,8.769,8.675,8.592,8.589
HHS_HCC006,8.576,8.501,8.427,8.333,8.329
HHS_HCC008,24.525,24.081,23.916,23.899,23.899
HHS_HCC009,13.19,12.873,12.733,12.672,12.67
HHS_HCC010,6.042,5.834,5.716,5.631,5.628
HHS_HCC011,3.876,3.663,3.536,3.439,3.436
HHS_HCC012,2.622,2.463,2.358,2.273,2.271
HHS_HCC013,1.054,0.935,0.827,0.717,0.714
HHS_HCC018,7.002,6.831,6.765,6.687,6.672
HHS_HCC019,0,0,0,0,0
HHS_HCC020,0,0,0,0,0
HHS_HCC021,0,0,0,0,0
HHS_HCC022,0.38,0.339,0.303,0.234,0.231
HHS_HCC023,11.879,11.731,11.645,11.587,11.585
HHS_HCC026,0,0,0,0,0
HHS_HCC027,0,0,0,0,0
HHS_HCC029,6.954,6.83,6.758,6.702,6.7
HHS_HCC030,1.446,1.351,1.278,1.204,1.201
HHS_HCC034,6.481,6.531,6.579,6.647,6.649
HHS_HCC035_1,7.706,7.5,7.402,7.365,7.367
HHS_HCC035_2,2.506,2.315,2.223,2.167,2.166
HHS_HCC036,0.706,0.607,0.537,0.466,0.463
HHS_HCC037_1,0.528,0.451,0.389,0.324,0.322
HHS_HCC037_2,0.528,0.451,0.389,0.324,0.322
HHS_HCC041,11.558,11.539,11.535,11.546,11.546
HHS_HCC042,11.889,11.691,11.61,11.582,11.581
HHS_HCC045,5.323,5.085,4.97,4.891,4.89
HHS_HCC046,2.842,2.639,2.547,2.497,2.497
HHS_HCC047,2.842,2.624,2.517,2.427,2.425
HHS_HCC048,0.469,0.365,0.266,0.146,0.142
HHS_HCC054,9.611,9.426,9.345,9.332,9.332
HHS_HCC055,5.113,4.911,4.827,4.805,4.804
HHS_HCC056,1.073,0.964,0.876,0.795,0.792
HHS_HCC057,0.467,0.376,0.28,0.173,0.168
HHS_HCC061,0,0,0,0,0
HHS_HCC062,0,0,0,0,0
HHS_HCC063,1.395,1.258,1.174,1.102,1.1
HHS_HCC066,74.006,73.673,73.537,73.513,73.514
HHS_HCC067,0,0,0,0,0
HHS_HCC068,0,0,0,0,0
HHS_HCC069,0,0,0,0,0
HHS_HCC070,0,0,0,0,0
HHS_HCC071,0,0,0,0,0
HHS_HCC073,0,0,0,0,0
HHS_HCC074,0,0,0,0,0
HHS_HCC075,2.211,2.111,2.041,1.976,1.974
HHS_HCC081,0,0,0,0,0
HHS_HCC082,0,0,0,0,0
HHS_HCC083,0,0,0,0,0
HHS_HCC084,0,0,0,0,0
HHS_HCC087_1,2.423,2.222,2.1,1.99,1.988
HHS_HCC087_2,2.407,2.208,2.086,1.969,1.966
HHS_HCC088,1.097,0.972,0.866,0.752,0.748
HHS_HCC090,0.777,0.675,0.568,0.452,0.448
HHS_HCC094,2.296,2.16,2.06,1.969,1.965
HHS_HCC096,8.822,8.772,8.724,8.674,8.671
HHS_HCC097,1.212,1.128,1.063,1.003,1.001
HHS_HCC102,0.871,0.77,0.669,0.571,0.567
HHS_HCC103,0.777,0.675,0.568,0.452,0.448
HHS_HCC106,0,0,0,0,0
HHS_HCC107,0,0,0,0,0
HHS_HCC108,0,0,0,0,0
HHS_HCC109,0,0,0,0,0
HHS_HCC110,5.642,5.424,5.314,5.24,5.238
HHS_HCC111,5.761,5.574,5.459,5.348,5.345
HHS_HCC112,0.915,0.782,0.69,0.593,0.59
HHS_HCC113,0.603,0.508,0.433,0.35,0.347
HHS_HCC114,1.376,1.266,1.184,1.094,1.091
HHS_HCC115,5.55,5.444,5.393,5.365,5.364
HHS_HCC117,0,0,0,0,0
HHS_HCC118,1.79,1.656,1.563,1.474,1.471
HHS_HCC119,0,0,0,0,0
HHS_HCC120,1.167,1.05,0.963,0.871,0.868
HHS_HCC121,10.74,10.618,10.534,10.464,10.461
HHS_HCC122,11.024,10.847,10.738,10.657,10.654
HHS_HCC123,4.582,4.419,4.31,4.218,4.215
HHS_HCC125,21.711,21.476,21.356,21.292,21.293
HHS_HCC126,0,0,0,0,0
HHS_HCC127,0,0,0,0,0
HHS_HCC128,0,0,0,0,0
HHS_HCC129,0,0,0,0,0
HHS_HCC130,2.114,2.006,1.943,1.89,1.889
HHS_HCC131,5.71,5.437,5.334,5.318,5.319
HHS_HCC132,4.333,4.076,3.969,3.906,3.906
HHS_HCC135,9.55,9.428,9.336,9.245,9.241
HHS_HCC137,0,0,0,0,0
HHS_HCC138,0,0,0,0,0
HHS_HCC139,0,0,0,0,0
HHS_HCC142,2.068,1.94,1.846,1.747,1.749
HHS_HCC145,11.501,11.303,11.199,11.134,11.132
HHS_HCC146,1.589,1.449,1.381,1.325,1.324
HHS_HCC149,2.506,2.361,2.27,2.182,2.178
HHS_HCC150,3.702,3.558,3.501,3.483,3.483
HHS_HCC151,2.759,2.625,2.548,2.482,2.481
HHS_HCC153,8.513,8.338,8.287,8.31,8.312
HHS_HCC154,5.876,5.705,5.617,5.563,5.561
HHS_HCC156,8.158,8.045,7.945,7.831,7.827
HHS_HCC158,11.241,11.061,10.97,10.928,10.928
HHS_HCC159,4.651,4.456,4.346,4.27,4.268
HHS_HCC160,0,0,0,0,0
HHS_HCC161_1,0,0,0,0,0
HHS_HCC161_2,0,0,0,0,0
HHS_HCC162,1.669,1.555,1.476,1.396,1.394
HHS_HCC163,6.8,6.776,6.772,6.785,6.786
HHS_HCC174,1.41,1.25,1.133,1.006,1.002
HHS_HCC183,0,0,0,0,0
HHS_HCC184,22.616,22.143,22.091,22.024,21.952
HHS_HCC187,0,0,0,0,0
HHS_HCC188,0,0,0,0,0
HHS_HCC203,2.101,1.869,1.688,1.453,1.446
HHS_HCC204,0,0,0,0,0
HHS_HCC205,0,0,0,0,0
HHS_HCC207,0,0,0,0,0
HHS_HCC208,0,0,0,0,0
HHS_HCC209,2.959,2.685,2.452,2.035,2.021
HHS_HCC210,0.925,0.787,0.614,0.411,0.403
HHS_HCC211,0.602,0.498,0.349,0.2,0.194
HHS_HCC212,0.045,0.011,0,0,0
HHS_HCC217,1.673,1.557,1.495,1.449,1.448
HHS_HCC218,24.045,23.796,23.67,23.616,23.615
HHS_HCC219,3.002,2.852,2.759,2.688,2.686
HHS_HCC223,19.211,19.023,18.906,18.816,18.812
HHS_HCC226,8.717,8.433,8.321,8.299,8.299
HHS_HCC228,4.629,4.43,4.311,4.209,4.206
HHS_HCC234,5.579,5.388,5.31,5.282,5.28
HHS_HCC251,19.317,19.299,19.253,19.203,19.204
