Variable,Platinum_Level,Gold_Level,Silver_Level,Bronze_Level,Catastrophic_Level
ED_1,0.277,0.235,0.214,0.195,0.195
ED_10,0.003,0.001,0,0,0
ED_11,0.001,0,0,0,0
ED_2,0.265,0.222,0.202,0.184,0.183
ED_3,0.265,0.221,0.198,0.18,0.18
ED_4,0.215,0.175,0.153,0.138,0.138
ED_5,0.202,0.166,0.144,0.129,0.129
ED_6,0.168,0.137,0.117,0.103,0.103
ED_7,0.127,0.103,0.087,0.075,0.075
ED_8,0.087,0.07,0.058,0.049,0.049
ED_9,0.048,0.037,0.029,0.022,0.022
FAGE_LAST_21_24,0.203,0.146,0.102,0.044,0.044
FAGE_LAST_25_29,0.222,0.16,0.113,0.048,0.048
FAGE_LAST_30_34,0.295,0.22,0.165,0.09,0.089
FAGE_LAST_35_39,0.364,0.276,0.213,0.13,0.129
FAGE_LAST_40_44,0.418,0.319,0.248,0.153,0.152
FAGE_LAST_45_49,0.426,0.321,0.245,0.141,0.14
FAGE_LAST_50_54,0.464,0.358,0.28,0.173,0.172
FAGE_LAST_55_59,0.437,0.331,0.251,0.143,0.142
FAGE_LAST_60_GT,0.438,0.327,0.245,0.133,0.132
G01,0.443,0.365,0.31,0.24,0.239
G02B,29.311,29.055,28.869,28.885,28.886
G04,2.549,2.333,2.19,2.084,2.083
G06A,14.302,14.164,14.071,14.057,14.056
G07A,2.754,2.596,2.491,2.398,2.397
G08,4.881,4.75,4.663,4.646,4.646
G09A,2.766,2.511,2.345,2.155,2.153
G09C,1.319,1.132,1.016,0.891,0.89
G10,11.91,11.74,11.625,11.59,11.59
G11,8.076,7.879,7.747,7.687,7.686
G12,1.822,1.661,1.557,1.422,1.42
G13,6.86,6.69,6.578,6.673,6.675
G14,27.909,27.681,27.528,27.553,27.555
G15A,0.822,0.69,0.597,0.468,0.467
G16,0.99,0.934,0.898,0.916,0.916
G17A,0.884,0.729,0.606,0.352,0.348
G18A,4.389,3.861,3.61,3.162,3.157
G21,2.659,2.526,2.431,2.351,2.35
HHS_HCC001,1.5,1.325,1.208,1.126,1.125
HHS_HCC002,7.314,7.088,6.953,6.991,6.991
HHS_HCC003,6.103,6.005,5.936,5.951,5.951
HHS_HCC004,5.275,5.032,4.893,4.777,4.775
HHS_HCC006,6.567,6.487,6.438,6.378,6.378
HHS_HCC008,23.144,22.562,22.156,22.163,22.163
HHS_HCC009,12.978,12.548,12.257,12.193,12.192
HHS_HCC010,5.646,5.364,5.173,5.064,5.063
HHS_HCC011,3.999,3.72,3.532,3.413,3.412
HHS_HCC012,2.72,2.513,2.371,2.263,2.262
HHS_HCC013,1.189,1.03,0.92,0.767,0.766
HHS_HCC018,2.044,1.978,1.934,1.94,1.94
HHS_HCC019,0,0,0,0,0
HHS_HCC020,0,0,0,0,0
HHS_HCC021,0,0,0,0,0
HHS_HCC022,0.437,0.371,0.342,0.267,0.266
HHS_HCC023,11.036,11.034,11.017,11.136,11.136
HHS_HCC026,0,0,0,0,0
HHS_HCC027,0,0,0,0,0
HHS_HCC029,7.698,7.561,7.465,7.424,7.424
HHS_HCC030,1.841,1.732,1.659,1.582,1.581
HHS_HCC034,9.992,9.906,9.844,9.849,9.847
HHS_HCC035_1,9.786,9.718,9.658,9.697,9.696
HHS_HCC035_2,3.154,2.95,2.817,2.797,2.796
HHS_HCC036,1.068,0.942,0.858,0.779,0.778
HHS_HCC037_1,0.886,0.768,0.697,0.614,0.613
HHS_HCC037_2,0.886,0.768,0.697,0.614,0.613
HHS_HCC041,35.31,35.238,35.183,35.162,35.161
HHS_HCC042,9.183,8.927,8.752,8.757,8.757
HHS_HCC045,5.552,5.288,5.126,5.08,5.079
HHS_HCC046,3.698,3.491,3.365,3.364,3.364
HHS_HCC047,3.238,2.96,2.802,2.702,2.701
HHS_HCC048,1.293,1.15,1.053,0.939,0.938
HHS_HCC054,10.233,10.119,10.015,10.11,10.11
HHS_HCC055,5.42,5.213,5.068,5.085,5.085
HHS_HCC056,1.382,1.237,1.133,1.024,1.023
HHS_HCC057,0.682,0.547,0.453,0.308,0.306
HHS_HCC061,0,0,0,0,0
HHS_HCC062,0,0,0,0,0
