Variable,Platinum_Level,Gold_Level,Silver_Level,Bronze_Level,Catastrophic_Level
FAGE_LAST_10_14,0.175,0.129,0.097,0.065,0.065
FAGE_LAST_15_20,0.252,0.182,0.131,0.068,0.067
FAGE_LAST_2_4,0.166,0.119,0.089,0.055,0.055
FAGE_LAST_5_9,0.108,0.068,0.043,0.016,0.016
G01,2.867,2.442,2.226,1.815,1.811
G02B,40.874,40.528,40.287,40.269,40.269
G02D,5.675,5.53,5.429,5.353,5.353
G03,3.741,3.486,3.313,3.206,3.204
G04,1.381,1.244,1.149,1.052,1.051
G06A,15.732,15.527,15.389,15.351,15.351
G07A,5.357,5.072,4.881,4.742,4.741
G08,5.948,5.765,5.638,5.578,5.578
G09A,3.091,2.844,2.69,2.528,2.527
G09C,1.188,0.981,0.85,0.697,0.696
G10,12.232,12.027,11.887,11.887,11.888
G11,9.538,9.245,9.056,8.972,8.971
G12,4.593,4.373,4.232,4.1,4.1
G13,10.845,10.562,10.389,10.357,10.357
G14,17.547,17.482,17.438,17.455,17.454
G16,4.723,4.566,4.462,4.327,4.325
G17A,0.787,0.62,0.484,0.218,0.215
G18A,3.787,3.28,3.025,2.487,2.48
G19B,0.697,0.519,0.375,0.156,0.154
G22,4.791,4.509,4.334,4.163,4.161
G23,2.68,2.584,2.533,2.525,2.524
HHS_HCC001,5.603,5.033,4.666,4.493,4.492
HHS_HCC002,13.484,13.246,13.108,13.078,13.078
HHS_HCC003,8.29,8.094,7.963,7.965,7.965
HHS_HCC004,2.773,2.518,2.375,2.17,2.168
HHS_HCC006,15.261,15.218,15.186,15.159,15.159
HHS_HCC008,36.724,36.405,36.165,36.174,36.174
HHS_HCC009,9.371,9.048,8.828,8.706,8.705
HHS_HCC010,7.314,7.01,6.806,6.653,6.651
HHS_HCC011,4.361,4.154,4.012,3.867,3.866
HHS_HCC012,4.361,4.154,4.012,3.867,3.866
HHS_HCC013,0.989,0.834,0.731,0.583,0.58
HHS_HCC018,8.948,8.708,8.557,8.447,8.445
HHS_HCC019,0,0,0,0,0
HHS_HCC020,0,0,0,0,0
HHS_HCC021,0,0,0,0,0
HHS_HCC023,14.038,13.923,13.835,13.878,13.878
HHS_HCC026,0,0,0,0,0
HHS_HCC027,0,0,0,0,0
HHS_HCC028,0,0,0,0,0
HHS_HCC029,0,0,0,0,0
HHS_HCC030,6.602,6.31,6.104,6.053,6.053
HHS_HCC034,8.948,8.708,8.557,8.447,8.445
HHS_HCC035_1,18.668,18.625,18.588,18.712,18.713
HHS_HCC035_2,14.304,14.162,14.079,14.05,14.049
HHS_HCC036,4.147,4.05,3.993,3.937,3.938
HHS_HCC037_1,2.762,2.565,2.434,2.433,2.433
HHS_HCC037_2,0.138,0.084,0.048,0.001,0
HHS_HCC041,17.547,17.482,17.438,17.455,17.454
HHS_HCC042,12.266,11.922,11.693,11.675,11.675
HHS_HCC045,5.212,4.977,4.819,4.69,4.688
HHS_HCC046,12.734,12.493,12.331,12.344,12.345
HHS_HCC047,7.448,7.17,6.999,6.869,6.867
HHS_HCC048,9.111,8.611,8.276,8.121,8.119
HHS_HCC054,0,0,0,0,0
HHS_HCC055,0,0,0,0,0
HHS_HCC056,4.962,4.653,4.437,4.328,4.326
HHS_HCC057,0.69,0.537,0.426,0.268,0.265
HHS_HCC061,0,0,0,0,0
HHS_HCC062,0,0,0,0,0
HHS_HCC063,1.322,1.114,0.987,0.824,0.822
HHS_HCC066,72.647,71.996,71.537,71.491,71.49
HHS_HCC067,0,0,0,0,0
HHS_HCC068,0,0,0,0,0
HHS_HCC069,0,0,0,0,0
HHS_HCC070,0,0,0,0,0
HHS_HCC071,0,0,0,0,0
HHS_HCC073,0,0,0,0,0
HHS_HCC074,0,0,0,0,0
HHS_HCC075,4.683,4.534,4.433,4.336,4.335
HHS_HCC081,0,0,0,0,0
HHS_HCC082,0,0,0,0,0
HHS_HCC083,0,0,0,0,0
HHS_HCC084,0,0,0,0,0
HHS_HCC087_1,4.812,4.415,4.164,3.968,3.966
HHS_HCC087_2,3.165,2.866,2.67,2.46,2.457
HHS_HCC088,2.812,2.539,2.353,2.147,2.144
HHS_HCC090,0.477,0.362,0.266,0.119,0.117
HHS_HCC094,2.255,2.026,1.862,1.728,1.726
HHS_HCC096,1.693,1.535,1.436,1.345,1.344
HHS_HCC097,1.458,1.293,1.186,1.075,1.074
HHS_HCC102,2.812,2.539,2.353,2.147,2.144
HHS_HCC103,0.477,0.372,0.285,0.157,0.156
HHS_HCC106,0,0,0,0,0
HHS_HCC107,0,0,0,0,0
HHS_HCC108,0,0,0,0,0
HHS_HCC109,0,0,0,0,0
HHS_HCC110,4.126,3.883,3.719,3.573,3.571
HHS_HCC111,31.975,31.651,31.415,31.321,31.319
HHS_HCC112,3.779,3.55,3.42,3.412,3.412
HHS_HCC113,0.722,0.549,0.439,0.291,0.29
HHS_HCC114,2.283,2.128,2.027,1.947,1.945
HHS_HCC115,11.29,11.112,10.986,11.014,11.014
HHS_HCC117,0,0,0,0,0
HHS_HCC118,12.636,12.134,11.789,11.775,11.775
HHS_HCC119,0,0,0,0,0
