Variable,Platinum_Level,Gold_Level,Silver_Level,Bronze_Level,Catastrophic_Level
HHS_HCC120,2.135,1.947,1.812,1.641,1.639
HHS_HCC121,4.775,4.653,4.565,4.528,4.528
HHS_HCC122,4.751,4.6,4.495,4.439,4.438
HHS_HCC123,4.851,4.625,4.463,4.279,4.276
HHS_HCC125,32.716,32.625,32.545,32.756,32.759
HHS_HCC126,0,0,0,0,0
HHS_HCC127,0,0,0,0,0
HHS_HCC128,0,0,0,0,0
HHS_HCC129,0,0,0,0,0
HHS_HCC130,6.118,5.99,5.9,5.851,5.85
HHS_HCC131,0,0,0,0,0
HHS_HCC132,0,0,0,0,0
HHS_HCC135,12.197,12.075,11.987,11.972,11.972
HHS_HCC137,3.968,3.764,3.605,3.473,3.471
HHS_HCC138,1.255,1.125,1.015,0.888,0.887
HHS_HCC139,0.81,0.695,0.605,0.511,0.51
HHS_HCC142,3.626,3.433,3.291,3.194,3.193
HHS_HCC145,10.79,10.577,10.441,10.421,10.422
HHS_HCC146,2.863,2.77,2.718,2.712,2.712
HHS_HCC149,3.432,3.208,3.061,2.954,2.953
HHS_HCC150,6.584,6.441,6.347,6.295,6.293
HHS_HCC151,4.034,3.859,3.747,3.658,3.656
HHS_HCC153,12.742,12.479,12.307,12.234,12.234
HHS_HCC154,10.61,10.513,10.434,10.472,10.473
HHS_HCC156,17.069,16.94,16.853,16.872,16.872
HHS_HCC158,17.547,17.482,17.438,17.455,17.454
HHS_HCC159,45.538,44.907,44.453,44.456,44.456
HHS_HCC160,2.953,2.772,2.647,2.506,2.505
HHS_HCC161_1,0.868,0.64,0.484,0.249,0.246
HHS_HCC161_2,0.328,0.242,0.171,0.076,0.075
HHS_HCC162,1.729,1.626,1.545,1.453,1.452
HHS_HCC163,6.659,6.603,6.558,6.581,6.582
HHS_HCC183,8.948,8.708,8.557,8.447,8.445
HHS_HCC184,42.547,42.36,42.214,42.35,42.352
HHS_HCC187,0,0,0,0,0
HHS_HCC188,0,0,0,0,0
HHS_HCC203,2.094,1.759,1.571,1.261,1.258
HHS_HCC204,0,0,0,0,0
HHS_HCC205,0,0,0,0,0
HHS_HCC207,0,0,0,0,0
HHS_HCC208,0,0,0,0,0
HHS_HCC209,2.59,2.223,2.018,1.446,1.437
HHS_HCC210,0,0,0,0,0
HHS_HCC211,0,0,0,0,0
HHS_HCC212,0.34,0.236,0.14,0.012,0.011
HHS_HCC217,2.919,2.803,2.714,2.629,2.628
HHS_HCC218,16.817,16.56,16.374,16.346,16.345
HHS_HCC219,2.168,1.974,1.851,1.712,1.71
HHS_HCC223,16.817,16.56,16.374,16.346,16.345
HHS_HCC226,4.702,4.418,4.217,4.09,4.089
HHS_HCC228,4.092,3.834,3.657,3.474,3.471
HHS_HCC234,0,0,0,0,0
HHS_HCC251,17.547,17.482,17.438,17.455,17.454
HHS_HCC253,10.632,10.491,10.398,10.506,10.508
HHS_HCC254,0,0,0,0,0
MAGE_LAST_10_14,0.186,0.137,0.102,0.068,0.067
MAGE_LAST_15_20,0.229,0.172,0.13,0.08,0.08
MAGE_LAST_2_4,0.22,0.163,0.124,0.075,0.075
MAGE_LAST_5_9,0.157,0.11,0.078,0.044,0.044
