Variable,Platinum_Level,Gold_Level,Silver_Level,Bronze_Level,Catastrophic_Level
AGE0_MALE,0.534,0.491,0.451,0.386,0.384
AGE1_MALE,0.112,0.096,0.077,0.058,0.058
AGE1_X_SEVERITY1,0.573,0.489,0.433,0.392,0.391
AGE1_X_SEVERITY2,1.969,1.733,1.508,1.303,1.296
AGE1_X_SEVERITY3,2.978,2.696,2.472,2.291,2.285
AGE1_X_SEVERITY4,12.611,12.09,11.788,11.574,11.568
AGE1_X_SEVERITY5,63.543,62.814,62.526,62.389,62.386
EXTREMELY_IMMATURE_X_SEVERITY1,33.466,32.026,31.446,31.173,31.167
EXTREMELY_IMMATURE_X_SEVERITY2,33.466,32.026,31.446,31.173,31.167
EXTREMELY_IMMATURE_X_SEVERITY3,33.466,32.026,31.446,31.173,31.167
EXTREMELY_IMMATURE_X_SEVERITY4,148.695,146.92,146.268,145.994,145.989
EXTREMELY_IMMATURE_X_SEVERITY5,211.847,210.261,209.774,209.658,209.658
IMMATURE_X_SEVERITY1,25.486,24.146,23.553,23.234,23.225
IMMATURE_X_SEVERITY2,30.548,29.122,28.536,28.242,28.234
IMMATURE_X_SEVERITY3,33.466,32.026,31.446,31.173,31.167
IMMATURE_X_SEVERITY4,68.725,67.061,66.501,66.299,66.296
IMMATURE_X_SEVERITY5,114.344,112.652,112.106,111.935,111.932
PREMATURE_MULTIPLES_X_SEVERITY1,5.767,5.141,4.569,4.022,4.004
PREMATURE_MULTIPLES_X_SEVERITY2,7.676,6.953,6.337,5.695,5.672
PREMATURE_MULTIPLES_X_SEVERITY3,13.748,12.735,12.109,11.61,11.594
PREMATURE_MULTIPLES_X_SEVERITY4,28.535,27.102,26.509,26.228,26.222
PREMATURE_MULTIPLES_X_SEVERITY5,101.851,100.439,99.973,99.813,99.81
TERM_X_SEVERITY1,1.898,1.532,1.094,0.779,0.769
TERM_X_SEVERITY2,3.667,3.171,2.61,2.02,2
TERM_X_SEVERITY3,5.921,5.324,4.752,4.173,4.154
TERM_X_SEVERITY4,15.369,14.386,13.77,13.291,13.278
TERM_X_SEVERITY5,78.54,77.274,76.768,76.528,76.523
