Variable,Platinum_Level,Gold_Level,Silver_Level,Bronze_Level,Catastrophic_Level
AGE0_MALE,0.633,0.575,0.538,0.464,0.463
AGE1_MALE,0.11,0.09,0.075,0.051,0.05
AGE1_X_SEVERITY1,0.556,0.495,0.454,0.406,0.406
AGE1_X_SEVERITY2,2.019,1.758,1.565,1.306,1.303
AGE1_X_SEVERITY3,3.216,2.892,2.669,2.428,2.426
AGE1_X_SEVERITY4,12.842,12.225,11.821,11.52,11.517
AGE1_X_SEVERITY5,65.111,64.236,63.619,63.463,63.461
EXTREMELY_IMMATURE_X_SEVERITY1,33.631,32.115,31.09,30.663,30.658
EXTREMELY_IMMATURE_X_SEVERITY2,33.631,32.115,31.09,30.663,30.658
EXTREMELY_IMMATURE_X_SEVERITY3,33.631,32.115,31.09,30.663,30.658
EXTREMELY_IMMATURE_X_SEVERITY4,147.335,145.263,143.835,143.511,143.508
EXTREMELY_IMMATURE_X_SEVERITY5,234.247,232.335,230.986,230.901,230.901
IMMATURE_X_SEVERITY1,26.462,25.052,24.092,23.617,23.611
IMMATURE_X_SEVERITY2,26.462,25.052,24.092,23.617,23.611
IMMATURE_X_SEVERITY3,33.631,32.115,31.09,30.663,30.658
IMMATURE_X_SEVERITY4,70.934,69.161,67.926,67.603,67.599
IMMATURE_X_SEVERITY5,135.262,133.35,132.009,131.845,131.843
PREMATURE_MULTIPLES_X_SEVERITY1,5.942,5.325,4.859,4.28,4.273
PREMATURE_MULTIPLES_X_SEVERITY2,8.408,7.584,7.016,6.27,6.261
PREMATURE_MULTIPLES_X_SEVERITY3,14.762,13.614,12.86,12.196,12.188
PREMATURE_MULTIPLES_X_SEVERITY4,29.635,28.13,27.115,26.667,26.663
PREMATURE_MULTIPLES_X_SEVERITY5,112.502,110.869,109.723,109.524,109.521
TERM_X_SEVERITY1,1.798,1.515,1.228,0.92,0.917
TERM_X_SEVERITY2,3.711,3.206,2.797,2.148,2.14
TERM_X_SEVERITY3,6.264,5.608,5.128,4.471,4.463
TERM_X_SEVERITY4,16.579,15.456,14.735,14.121,14.115
TERM_X_SEVERITY5,84.755,83.345,82.363,82.082,82.078
